species_slug,BL,WL,under_sampled,red_list,cert_list,lists
muscari-comosum,0,0,0,1,0,['red_list']
muscari-neglectum,0,0,0,2,0,['red_list']
muscari-racemosum,0,0,0,1,0,['red_list']
mycelis-muralis,0,0,0,1,0,['red_list']
myosotis-alpestris,0,0,0,1,1,['red_list' 'cert_list']
myosotis-arvensis,0,0,0,1,1,['red_list' 'cert_list']
myosotis-cespitosa,0,0,0,1,0,['red_list']
myosotis-decumbens,0,0,0,1,0,['red_list']
myosotis-discolor,0,0,0,1,0,['red_list']
myosotis-michaelae,0,0,0,1,0,['red_list']
myosotis-minutiflora,0,0,0,1,0,['red_list']
myosotis-nemorosa,0,0,0,1,0,['red_list']
myosotis-ramosissima,0,0,0,1,0,['red_list']
myosotis-rehsteineri,0,0,0,1,0,['red_list']
myosotis-scorpioides,0,0,0,1,0,['red_list']
myosotis-stricta,0,0,0,1,0,['red_list']
myosotis-sylvatica,0,0,0,1,0,['red_list']
myosoton-aquaticum,0,0,0,1,0,['red_list']
myosurus-minimus,0,0,0,1,0,['red_list']
myricaria-germanica,0,0,0,1,0,['red_list']
myriophyllum-alterniflorum,0,0,0,1,0,['red_list']
myriophyllum-aquaticum,1,0,0,0,0,['BL']
myriophyllum-spicatum,0,0,0,1,0,['red_list']
myriophyllum-verticillatum,0,0,0,1,0,['red_list']
myrrhis-odorata,0,0,0,1,0,['red_list']
najas-flexilis,0,0,0,1,0,['red_list']
najas-marina,0,0,0,1,0,['red_list']
najas-minor,0,0,1,1,0,['under_sampled' 'red_list']
narcissus-poëticus,0,0,0,2,1,['red_list' 'cert_list']
narcissus-pseudonarcissus,0,0,0,1,1,['red_list' 'cert_list']
narcissus-radiiflorus,0,0,0,1,0,['red_list']
narcissus-×verbanensis,0,0,0,1,0,['red_list']
nardus-stricta,0,0,0,1,1,['red_list' 'cert_list']
nasturtium-microphyllum,0,0,0,1,0,['red_list']
nasturtium-officinale,0,0,0,1,0,['red_list']
neottia-nidus-avis,0,0,0,1,1,['red_list' 'cert_list']
nepeta-cataria,0,0,0,1,0,['red_list']
nepeta-nuda,0,0,0,1,0,['red_list']
neslia-paniculata,0,0,0,1,0,['red_list']
nigella-arvensis,0,0,0,1,0,['red_list']
nigritella-austriaca,0,0,0,1,0,['red_list']
nigritella-rhellicani,0,0,0,2,1,['red_list' 'cert_list']
nigritella-rubra,0,0,0,1,0,['red_list']
notholaena-marantae,0,0,0,1,0,['red_list']
nuphar-lutea,0,0,0,1,1,['red_list' 'cert_list']
nuphar-pumila,0,0,0,1,0,['red_list']
nymphaea-alba,0,0,0,1,1,['red_list' 'cert_list']
nymphoides-peltata,0,0,0,1,0,['red_list']
odontites-luteus,0,0,0,1,0,['red_list']
odontites-vernus,0,0,1,2,0,['under_sampled' 'red_list']
odontites-viscosus,0,0,0,1,0,['red_list']
odontites-vulgaris,0,0,0,1,0,['red_list']
oenanthe-aquatica,0,0,0,1,0,['red_list']
oenanthe-fistulosa,0,0,0,1,0,['red_list']
oenanthe-lachenalii,0,0,0,1,0,['red_list']
oenanthe-peucedanifolia,0,0,0,1,0,['red_list']
oenothera-biennis,0,0,0,0,1,['cert_list']
onobrychis-arenaria,0,0,0,1,0,['red_list']
onobrychis-montana,0,0,0,1,1,['red_list' 'cert_list']
onobrychis-viciifolia,0,0,0,0,1,['cert_list']
ononis-natrix,0,0,0,1,0,['red_list']
ononis-pusilla,0,0,0,1,0,['red_list']
ononis-repens,0,0,0,1,0,['red_list']
ononis-rotundifolia,0,0,0,1,0,['red_list']
ononis-spinosa,0,0,0,3,0,['red_list']
onopordum-acanthium,0,0,0,1,0,['red_list']
onosma-helvetica,0,0,0,1,0,['red_list']
onosma-pseudoarenaria,0,0,0,1,0,['red_list']
ophioglossum-vulgatum,0,0,0,1,0,['red_list']
ophrys-apifera,0,0,0,1,0,['red_list']
ophrys-araneola,0,0,0,1,0,['red_list']
ophrys-holosericea,0,0,0,3,0,['red_list']
ophrys-insectifera,0,0,0,1,1,['red_list' 'cert_list']
ophrys-sphegodes,0,0,0,2,0,['red_list']
oplismenus-undulatifolius,0,0,0,1,0,['red_list']
opuntia-humifusa,0,1,0,0,0,['WL']
orchis-coriophora,0,0,0,1,0,['red_list']
orchis-laxiflora,0,0,0,1,0,['red_list']
orchis-mascula,0,0,0,1,1,['red_list' 'cert_list']
orchis-militaris,0,0,0,1,0,['red_list']
orchis-morio,0,0,0,1,0,['red_list']
orchis-pallens,0,0,0,1,0,['red_list']
orchis-palustris,0,0,0,1,0,['red_list']
orchis-papilionacea,0,0,0,1,0,['red_list']
orchis-provincialis,0,0,0,1,0,['red_list']
orchis-purpurea,0,0,0,1,0,['red_list']
orchis-simia,0,0,0,1,0,['red_list']
orchis-spitzelii,0,0,0,1,0,['red_list']
orchis-tridentata,0,0,0,1,0,['red_list']
orchis-ustulata,0,0,0,1,1,['red_list' 'cert_list']
oreochloa-disticha,0,0,0,1,0,['red_list']
oreopteris-limbosperma,0,0,0,1,0,['red_list']
origanum-vulgare,0,0,0,1,1,['red_list' 'cert_list']
orlaya-grandiflora,0,0,0,1,0,['red_list']
ornithogalum-nutans,0,0,0,1,0,['red_list']
ornithogalum-pyrenaicum,0,0,0,1,0,['red_list']
ornithogalum-umbellatum,0,0,0,1,0,['red_list']
ornithopus-perpusillus,0,0,1,1,0,['under_sampled' 'red_list']
orobanche-alba,0,0,0,1,1,['red_list' 'cert_list']
orobanche-alsatica,0,0,0,3,0,['red_list']
orobanche-arenaria,0,0,0,1,0,['red_list']
orobanche-artemisiae-campestris,0,0,0,1,0,['red_list']
orobanche-bohemica,0,0,0,1,0,['red_list']
orobanche-caryophyllacea,0,0,0,1,0,['red_list']
orobanche-elatior,0,0,0,1,0,['red_list']
orobanche-flava,0,0,0,1,0,['red_list']
orobanche-gracilis,0,0,0,1,0,['red_list']
orobanche-hederae,0,0,0,1,0,['red_list']
