"Invasive Species Compendium",
"Switzerland",
"List of Species",
"The table includes species that are invasive in this region, those for which there is no data on invasive status, and also species that are not invasive in the region but are reported as invasive elsewhere. This summary table is based on all the information available.When several references are cited, they may give conflicting information on the distribution record.Further confirmation should be sought before use. Records are included from full and basic datasheets.",
"Domain","Kingdom","Phylum","Species","Distribution","Origin","Invasive","References","Datasheet Status",
"Eukaryota","Metazoa","Arthropoda","Euophryum rufum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Euxesta pechumani","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Faxonius limosus (Spiny-cheek crayfish)","Present","Introduced","Invasive","Hefti D and Stucki P (2006)","Full",
"Eukaryota","Metazoa","Arthropoda","Forficula auricularia (European earwig)","Present","","","UK, CAB International (1957)","Full",
"Eukaryota","Metazoa","Arthropoda","Frankliniella occidentalis (western flower thrips)","Present, Widespread","Introduced","Invasive","CABI and EPPO (1999); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Gilpinia hercyniae (spruce sawfly)","Present, Few occurrences","Native","","Liston (1995); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Gnathocerus cornutus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Gnathotrichus materiarius","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Grapholita molesta (Oriental fruit moth)","Present, Localized","","","EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Gypsonoma aceriana (poplar twig borer)","Present","Native","","Razowski (1996)","Full",
"Eukaryota","Metazoa","Arthropoda","Gyropus ovalis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Halyomorpha halys (brown marmorated stink bug)","Present, Widespread","Introduced","","Wyniger and Kment (2010); CABI and EPPO (2013); Haye and  Wyniger (2013); Cesari et al. (2015); Gariepy et al. (2015); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Harmonia axyridis (harlequin ladybird)","Present, Localized","Introduced","Invasive","Brown et al. (2008); CABI and EPPO (2007); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Hasarius adansoni","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Helicoverpa armigera (cotton bollworm)","Present, Localized","","","UK, CAB International (1993); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Helicoverpa zea (American cotton bollworm)","Absent, Intercepted only","","","EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Heliothrips haemorrhoidalis (black tea thrips)","Present","","","UK, CAB International (1961)","Full",
"Eukaryota","Metazoa","Arthropoda","Hemimysis anomala","Present, Localized","Introduced","Invasive","Wittmann (2007)","Full",
"Eukaryota","Metazoa","Arthropoda","Holocnemus pluchei","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Hylastes ater (black pine bark beetle)","Present","Native","","Wood and Bright (1992)","Full",
"Eukaryota","Metazoa","Arthropoda","Hylobius abietis (large pine weevil)","Present","","","CABI and EPPO (2003); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Hylurgops palliatus (lesser spruce shoot beetle)","Present","Native","","Wood and Bright (1992)","Full",
"Eukaryota","Metazoa","Arthropoda","Hylurgus ligniperda (red-haired pine bark beetle)","Present","Native","","Wood and Bright (1992); CABI and EPPO (2010)","Full",
"Eukaryota","Metazoa","Arthropoda","Hyphantria cunea (mulberry moth)","Present, Few occurrences","","","EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Hypoponera punctatissima","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Icerya purchasi (cottony cushion scale)","Present","Introduced","Invasive","UK, CAB International (1971); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Idiopterus nephrelepidis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Illinoia azaleae","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Insignorthezia insignis (greenhouse orthezia)","Present","","","Ben-Dov et al. (1998)","Full",
"Eukaryota","Metazoa","Arthropoda","Ips cembrae (large larch bark beetle)","Present, Localized","Native","","CABI and EPPO (2007); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Ips typographus (eight-toothed bark beetle)","Present, Widespread","Native","","Forster (1998); BAWBILT (2002); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Japananus hyalinus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Lasius neglectus (invasive garden ant)","Present","Introduced","","Neumeyer (2008)","Full",
"Eukaryota","Metazoa","Arthropoda","Leptinotarsa decemlineata (Colorado potato beetle)","Present","","","UK, CAB International (1962); Murbach (1975); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Leptoglossus occidentalis (western conifer-seed bug)","Present, Localized","","","EPPO (2020); CABI and EPPO (2018)","Basic",
"Eukaryota","Metazoa","Arthropoda","Leucoptera malifoliella (pear leaf blister moth)","Present","","","EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Lilioceris lilii (lily leaf beetle)","Present, Widespread","Native","","Cox (2001); Gold et al. (2001); Haye and Kenis (2004); CABI and EPPO (2010)","Full",
"Eukaryota","Metazoa","Arthropoda","Limnomysis benedeni","Present, Localized","Introduced","","Wittmann (2007); Gergs et al. (2008)","Full",
"Eukaryota","Metazoa","Arthropoda","Linepithema humile (Argentine ant)","Present","Introduced","Invasive","Invasive Species Specialist Group (ISSG) (2011)","Full",
"Eukaryota","Metazoa","Arthropoda","Liposcelis mendax","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Liposcelis pearmani","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Liriomyza cicerina","Present","","","Martinez (2007)","Full",
"Eukaryota","Metazoa","Arthropoda","Liriomyza huidobrensis (serpentine leafminer)","Present","","","Oudman et al. (1993); CABI and EPPO (2002); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Liriomyza trifolii (American serpentine leafminer)","Present, Few occurrences","","","CABI and EPPO (1997); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Litargus balteatus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Lithocharis nigriceps","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Lobesia botrana (European grapevine moth)","Present, Widespread","","","Boller (1975); Schmid and Antonin (1977); Chalverat (1978); Boller and Remund (1981); Charmillot et al. (1995); Charmillot et al. (1995); Moreau et al. (2010); CABI/EPPO (2012); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Luperomorpha xanthodera","Present","","","CABI and EPPO (2013); EPPO (2020)","Basic",
"Eukaryota","Metazoa","Arthropoda","Lyctus cavicollis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Lymantria dispar (gypsy moth)","Present, Widespread","","","EPPO (2020); Keena et al. (2008)","Full",
"Eukaryota","Metazoa","Arthropoda","Lymantria monacha (nun moth)","Present","Native","Invasive","EPPO (2020); CABI (Undated)","Full",
"Eukaryota","Metazoa","Arthropoda","Macrosiphum euphorbiae (potato aphid)","Present","Introduced","","UK, CAB International (1984)","Full",
"Eukaryota","Metazoa","Arthropoda","Megaselia tamilnaduensis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Megastigmus spermotrophus (Douglas-fir seed chalcid)","Present, Localized","Introduced","Invasive","Roques and Skrzypczynska (2003)","Basic",
"Eukaryota","Metazoa","Arthropoda","Megoura lespedezae","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Meligethes aeneus (rape beetle)","Present","","","Lucht (1987); Büchi (1989); CABI and EPPO (2001)","Full",
"Eukaryota","Metazoa","Arthropoda","Metcalfa pruinosa (frosted moth-bug)","Present, Localized","","","CABI (Undated); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Micropeplus marietti","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Micropholcus fauroti","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Monarthropalpus flavus (boxwood leafminer)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Monochamus saltuarius (Japanese pine sawyer)","Present","","","EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Monochamus sutor (small white-marmorated longicorn)","Present","Native","Invasive","Althoff and Danilevsky (1997); CABI and EPPO (2009); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Monomorium pharaonis (pharaoh ant)","Present","","","CABI Data Mining (2001)","Full",
"Eukaryota","Metazoa","Arthropoda","Mythimna unipuncta (rice armyworm)","Present","Introduced","","Karsholt and Razowski (1996)","Full",
"Eukaryota","Metazoa","Arthropoda","Myzocallis walshii","Present","","","CABI/EPPO (2013)","Basic",
"Eukaryota","Metazoa","Arthropoda","Myzus cerasi (black cherry aphid)","Present","","","Blackman and Eastop (1994)","Full",
"Eukaryota","Metazoa","Arthropoda","Myzus persicae (green peach aphid)","Present, Widespread","","","UK, CAB International (1979)","Full",
"Eukaryota","Metazoa","Arthropoda","Nearctaphis bakeri","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Neodiprion sertifer (European pine sawfly)","Present, Localized","Native","","Niklas and Franz (1957); EICHHORN et al. (1965)","Full",
"Eukaryota","Metazoa","Arthropoda","Noctua pronuba (common yellow underwing moth)","Present","","","Hächler et al. (2002)","Full",
"Eukaryota","Metazoa","Arthropoda","Nosopsyllus londinensis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Obolodiplosis robiniae (black locust gall midge)","Present","","","Wermelinger and Skuhravá (2007); CABI/EPPO (2011); EPPO (2020)","Basic",
"Eukaryota","Metazoa","Arthropoda","Oecobius maculatus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Oligota parva","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Omonadus floralis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Opogona sacchari (banana moth)","Present, Localized","Introduced","","CABI and EPPO (1999); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Orientus ishidae (mosaic leafhopper)","Present","","","EPPO (2020)","Basic",
"Eukaryota","Metazoa","Arthropoda","Orthotomicus erosus (Mediterranean pine beetle)","Present","Native","Invasive","Wood and Bright (1992)","Full",
"Eukaryota","Metazoa","Arthropoda","Oryzaephilus surinamensis (saw toothed grain beetle)","Present","","","Büchi (1989)","Full",
"Eukaryota","Metazoa","Arthropoda","Ostrinia nubilalis (European maize borer)","Present, Widespread","","","UK, CAB International (1991); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Otiorhynchus sulcatus (vine weevil)","Present, Widespread","","","Steiner (1996); Steiner (1996); EPPO (2020); CABI (Undated)","Full",
"Eukaryota","Metazoa","Arthropoda","Oxytelus migrator","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Pacifastacus leniusculus (American signal crayfish)","Present","Introduced","","Kouba et al. (2014)","Full",
"Eukaryota","Metazoa","Arthropoda","Paranthrene tabaniformis (poplar clearwing moth)","Present","","","Lastuvka and Lastuvka (1995)","Full",
"Eukaryota","Metazoa","Arthropoda","Paratrechina longicornis (crazy ant)","Present","Introduced","","Invasive Species Specialist Group (ISSG) (2011)","Full",
"Eukaryota","Metazoa","Arthropoda","Parthenolecanium persicae (peach scale)","Present","","","UK, CAB International (1979); Ben-Dov (1993)","Full",
"Eukaryota","Metazoa","Arthropoda","Paysandisia archon (South American palm borer)","Absent, Eradicated","","","EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Peliococcus multispinus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Pentarthrum huttoni","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Pheidole bilimeki","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Philonthus spinipes","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Phoracantha semipunctata (eucalyptus longhorned borer)","Absent, Intercepted only","","","EPPO (2020); CABI and EPPO (2007)","Full",
"Eukaryota","Metazoa","Arthropoda","Phthorimaea operculella (potato tuber moth)","Absent, Formerly present","","","EPPO (2020); CABI/EPPO (2012)","Full",
"Eukaryota","Metazoa","Arthropoda","Phyllocnistis vitegenella","Present","","","Cara and Jermini (2011); EPPO (2020)","Basic",
"Eukaryota","Metazoa","Arthropoda","Phyllonorycter issikii (lime leafminer)","Present","","","CABI and EPPO (2011); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Phyllonorycter leucographella","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Pieris brassicae (large cabbage white)","Present, Widespread","","","Vorbrodt and Müller-Rutz (1911); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Pieris rapae (cabbage white butterfly)","Present","","","UK, CAB International (1952)","Full",
"Eukaryota","Metazoa","Arthropoda","Pissodes castaneus (small banded pine weevil)","Present","Native","","Lucht (1987); CAB International and European and Mediterranean Plant Protection Organization (1998); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Pityogenes chalcographus (sixtoothed spruce bark beetls)","Present, Widespread","Native","","Avtzis et al. (2008); CABI (Undated); CABI (Undated); CABI (Undated)","Full",
"Eukaryota","Metazoa","Arthropoda","Pityokteines curvidens (fir engraver beetle)","Present","Native","Invasive","Stierlin (1898); Schneider Orelli and Kuhn (1948); Schneider Orelli and Maksymov (1949); Bovey (1987)","Full",
"Eukaryota","Metazoa","Arthropoda","Plagiolepis alluaudi","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Planococcus citri (citrus mealybug)","Present","","","Kozár et al. (1994)","Full",
"Eukaryota","Metazoa","Arthropoda","Plutella xylostella (diamondback moth)","Present","","","UK, CAB International (1967)","Full",
"Eukaryota","Metazoa","Arthropoda","Polyphagotarsonemus latus (broad mite)","Present","","","CABI (Undated)","Full",
"Eukaryota","Metazoa","Arthropoda","Popillia japonica (Japanese beetle)","Present, Transient under eradication","","","EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Pristiphora glauca","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Pristiphora laricis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Procambarus clarkii (red swamp crayfish)","Present","Introduced","Invasive","CABI (Undated)","Full",
"Eukaryota","Metazoa","Arthropoda","Pseudaulacaspis pentagona (mulberry scale)","Present","","","Kosztarab and Kozár (1988); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Pseudococcus viburni (obscure mealybug)","Present","Introduced","","Kozar et al. (1996); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Psylliodes chrysocephala (cabbage stem flea beetle)","Present","","","Bromand (1990)","Full",
"Eukaryota","Metazoa","Arthropoda","Rhagoletis cingulata (cherry fruit fly)","Present, Localized","Introduced","","Boller and Mani (1994); Boller (2000); Daniel and Wyss (2007); CABI and EPPO (2015); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Rhagoletis completa (walnut husk fly)","Present, Widespread","","","Merz (1994); Aluja et al. (2011); Guillén et al. (2011); CABI and EPPO (2014); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Rhopalapion longirostre","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Rhyacionia buoliana (European pine shoot moth)","Present, Widespread","","","EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Rhyzopertha dominica (lesser grain borer)","Present","","","Hoppe (1981); Büchi (1993)","Full",
"Eukaryota","Metazoa","Arthropoda","Saissetia oleae (olive scale)","Present","","","UK, CAB International (1952); De Lotto (1965); Ben-Dov (1993)","Full",
"Eukaryota","Metazoa","Arthropoda","Saperda carcharias (large poplar borer)","Present","","","Barbey (1942)","Full",
"Eukaryota","Metazoa","Arthropoda","Sceliphron curvatum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Scolytus intricatus (European oak bark beetle)","Present","Native","Invasive","Wood and Bright (1992)","Full",
"Eukaryota","Metazoa","Arthropoda","Sedina buettneri (Blair's wainscot)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Sirex noctilio (woodwasp)","Present","","","Wermelinger et al. (2008); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Sitophilus oryzae (lesser grain weevil)","Present","","","CABI Data Mining (2001)","Full",
"Eukaryota","Metazoa","Arthropoda","Sitophilus zeamais (greater grain weevil)","Present","","","Büchi (1993)","Full",
"Eukaryota","Metazoa","Arthropoda","Sitotroga cerealella (grain moth)","Present","","","Champ and Dyte (1977)","Full",
"Eukaryota","Metazoa","Arthropoda","Spodoptera littoralis (cotton leafworm)","Absent, Formerly present","","","EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Stictocephala alta","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Stricticomus tobias","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Tachycines asynamorus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Takecallis arundicolens","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Takecallis taiwanus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Tapinoma melanocephalum (ghost ant)","Present","Introduced","","Wetterer (2009)","Full",
"Eukaryota","Metazoa","Arthropoda","Tenebroides fuscus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Tetranychus urticae (two-spotted spider mite)","Present","","","International Institute of Entomology (1996)","Full",
"Eukaryota","Metazoa","Arthropoda","Tetropium castaneum (black spruce beetle)","Present, Widespread","Native","","Danilevsky (2003); Wermelinger et al. (2002); Sweeney et al. (2004)","Full",
"Eukaryota","Metazoa","Arthropoda","Tetropium fuscum (brown spruce longhorn beetle)","Present, Widespread","Native","","Danilevsky (2003); Wermelinger et al. (2002)","Full",
"Eukaryota","Metazoa","Arthropoda","Thaumatotibia leucotreta (false codling moth (FCM))","Present, Only in captivity/cultivation","","","Kessler and Zingg (2008)","Full",
"Eukaryota","Metazoa","Arthropoda","Thaumetopoea pityocampa (pine processionary)","Present, Widespread","Native","","UK, CAB International (1977); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Thecturota marchii","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Tinocallis nevskyi","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Tipula paludosa (European crane fly)","Present, Widespread","","","Oosterbroek and Theowald (1992); CABI (Undated)","Full",
"Eukaryota","Metazoa","Arthropoda","Tomicus piniperda (common pine shoot beetle)","Present, Widespread","","","Rigling and Cherubini (1999)","Full",
"Eukaryota","Metazoa","Arthropoda","Trialeurodes vaporariorum (whitefly, greenhouse)","Present","","","CABI (Undated)","Full",
"Eukaryota","Metazoa","Arthropoda","Trichodectes octomaculatus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Trogoderma granarium (khapra beetle)","Absent, Intercepted only","","","EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Trypodendron laeve","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Tuta absoluta (South American tomato pinworm)","Present, Localized","Introduced","","EPPO (2020); CABI and EPPO (2013)","Full",
"Eukaryota","Metazoa","Arthropoda","Uloborus plumipes","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Uroleucon erigeronense","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Varroa destructor (Varroa mite)","Present","","","OIE (2009)","Full",
"Eukaryota","Metazoa","Arthropoda","Vespa velutina (Asian hornet)","Present, Few occurrences","","","EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Vespula germanica (German wasp)","Present, Widespread","Native","","Archer (1998); Neumeyer (2000)","Full",
"Eukaryota","Metazoa","Arthropoda","Vespula vulgaris (wasp, common)","Present","","","CABI Data Mining (undated)","Full",
"Eukaryota","Metazoa","Arthropoda","Viteus vitifoliae (grapevine phylloxera)","Present","","","EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Xyleborinus saxesenii (fruit-tree pinhole borer)","Present","Native","","Wood and Bright (1992)","Full",
"Eukaryota","Metazoa","Arthropoda","Xyleborus dispar (pear blight beetle)","Present, Widespread","Native","","Schneider-Orelli (1913); Mani and Schwaller (1983); Keimer (1990)","Full",
"Eukaryota","Metazoa","Arthropoda","Xylosandrus germanus (black timber bark beetle)","Present","Introduced","Invasive","CABI and EPPO (2008); EPPO (2020); CABI (Undated); CABI (Undated)","Full",
"Eukaryota","Metazoa","Arthropoda","Xylotrechus stebbingi","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Zeiraphera diniana (douglas fir cone moth (Japan))","Present","","","CABI Data Mining (undated)","Basic",
"Eukaryota","Metazoa","Arthropoda","Zelotes puritanus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Zeuzera pyrina (wood leopard moth)","Present","","","UK, CAB International (1952)","Full",
"Eukaryota","Metazoa","Chordata","Alburnus alburnus (bleak)","Present","Native","","Froese and Pauly (2004)","Full",
"Eukaryota","Metazoa","Chordata","Alopochen aegyptiaca (Egyptian goose)","Present, Localized","Introduced","","Banks et al. (2008)","Full",
"Eukaryota","Metazoa","Chordata","Ameiurus melas (black bullhead)","Present","Introduced","","FAO (1997); Froese and Pauly (2004)","Full",
"Eukaryota","Metazoa","Chordata","Ameiurus nebulosus (brown bullhead)","Present","Introduced","","Wittenberg (2005)","Full",
"Eukaryota","Metazoa","Chordata","Anser indicus (bar-headed goose)","Present, Localized","Introduced","","Banks et al. (2008)","Full",
"Eukaryota","Metazoa","Chordata","Aristichthys nobilis (bighead carp)","Present","Introduced","Invasive","FishBase (2004)","Full",
"Eukaryota","Metazoa","Chordata","Aspius aspius (asp)","Present","Introduced","","Froese and Pauly (2011); Froese and Pauly (2004)","Full",
"Eukaryota","Metazoa","Chordata","Bos taurus (cattle)","Present","","","CABI Data Mining (2001)","Full",
"Eukaryota","Metazoa","Chordata","Branta canadensis (Canada goose)","Present, Few occurrences","Introduced","","Cramp and Simmons (1977)","Full",
"Eukaryota","Metazoa","Chordata","Bubulcus ibis (cattle egret)","Present","Native","","Invasive Species Specialist Group (ISSG) (2011)","Full",
"Eukaryota","Metazoa","Chordata","Capra hircus (goats)","Present","","","CABI Data Mining (2001)","Full",
"Eukaryota","Metazoa","Chordata","Carassius auratus auratus (goldfish)","Present","Introduced","","Froese and Pauly (2009)","Full",
"Eukaryota","Metazoa","Chordata","Carassius gibelio (Prussian carp)","Present","Introduced","Invasive","Froese and Pauly (2011)","Full",
"Eukaryota","Metazoa","Chordata","Cervus elaphus (red deer)","Present","Native","","IUCN (2017)","Full",
"Eukaryota","Metazoa","Chordata","Cervus nippon (sika)","Present, Localized","Introduced","","Bartoš (2009)","Full",
"Eukaryota","Metazoa","Chordata","Columba livia (pigeons)","Present","Introduced","","Invasive Species Specialist Group (ISSG) (2011)","Full",
"Eukaryota","Metazoa","Chordata","Coregonus albula (vendace)","Present","Native","","Blanc et al. (1971); Froese and Pauly (2004)","Full",
"Eukaryota","Metazoa","Chordata","Cygnus olor (mute swan)","Present","Native","","Invasive Species Specialist Group (ISSG) (2011)","Full",
"Eukaryota","Metazoa","Chordata","Cyprinus carpio (common carp)","Present","Introduced","","Welcomme (1988)","Full",
"Eukaryota","Metazoa","Chordata","Equus ferus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Chordata","Esox lucius (pike)","Present","Native","","Froese and Pauly (2004); Muus and Dahlström (1968)","Full",
"Eukaryota","Metazoa","Chordata","Felis catus (cat)","Present","Introduced","Invasive","Invasive Species Specialist Group (ISSG) (2011)","Full",
"Eukaryota","Metazoa","Chordata","Gymnocephalus cernuus (ruffe)","Present","Native","","Muus and Dahlström (1968)","Full",
"Eukaryota","Metazoa","Chordata","Hypophthalmichthys molitrix (silver carp)","Present","Introduced","","FishBase (2005)","Full",
"Eukaryota","Metazoa","Chordata","Lepomis gibbosus (pumpkinseed)","Present, Widespread","Introduced","Invasive","Wittenberg (2005)","Full",
"Eukaryota","Metazoa","Chordata","Lepus europaeus (European hare)","Present, Widespread","Native","","Mitchell-Jones et al. (1999)","Full",
"Eukaryota","Metazoa","Chordata","Leucaspius delineatus (sunbleak)","Present","Introduced","","Kottelat and Freyhof (2007)","Full",
"Eukaryota","Metazoa","Chordata","Leuciscus leuciscus (common dace)","Present, Widespread","Native","","Blanc et al. (1971)","Full",
"Eukaryota","Metazoa","Chordata","Micropterus salmoides (largemouth bass)","Present","Introduced","","Wittenberg (2005); Froese and Pauly (2004); CABI (Undated)","Full",
"Eukaryota","Metazoa","Chordata","Mustela erminea (ermine)","Present","Native","","Invasive Species Specialist Group (ISSG) (2011)","Full",
"Eukaryota","Metazoa","Chordata","Nyctereutes procyonoides (raccoon dog)","Present, Few occurrences","Introduced","","Mitchell-Jones et al. (1999); Weber et al. (2004)","Full",
"Eukaryota","Metazoa","Chordata","Oncorhynchus mykiss (rainbow trout)","Present","Introduced","","Welcomme (1988); Froese and Pauly (2004); DAISIE (2011)","Full",
"Eukaryota","Metazoa","Chordata","Ondatra zibethicus (muskrat)","Present, Widespread","Introduced","","Birnbaum (2013)","Full",
"Eukaryota","Metazoa","Chordata","Oryctolagus cuniculus (rabbits)","Present","","","CABI Data Mining (2001)","Full",
"Eukaryota","Metazoa","Chordata","Ovis aries (sheep)","Present","","","CABI Data Mining (2001)","Full",
"Eukaryota","Metazoa","Chordata","Ovis aries musimon (European mouflon)","Present, Localized","Introduced","","Imesch-Bebié et al. (2010)","Full",
"Eukaryota","Metazoa","Chordata","Oxyura jamaicensis (ruddy duck)","Present, Few occurrences","Introduced","Invasive","Hall (2016)","Full",
"Eukaryota","Metazoa","Chordata","Pelophylax cf. bedriagae","Present, Widespread","Introduced","Invasive","Plötner (2005)","Full",
"Eukaryota","Metazoa","Chordata","Perca fluviatilis (perch)","Present","Native","","Fishbase (2004)","Full",
"Eukaryota","Metazoa","Chordata","Petromyzon marinus (sea lamprey)","Present, Few occurrences","Native","","Hartmann (1827)","Full",
"Eukaryota","Metazoa","Chordata","Phasianus colchicus (common pheasant)","Present, Localized","Introduced","","BirdLife International (2015); eBird (2015)","Full",
"Eukaryota","Metazoa","Chordata","Phoxinus phoxinus (European minnow)","Present, Widespread","Native","","Froese and Pauly (2008)","Full",
"Eukaryota","Metazoa","Chordata","Podarcis sicula (Italian wall lizard)","Present, Localized","Introduced","","Schulte and Gebhart (2011); Hofer and Dusej (1995)","Full",
