"Invasive Species Compendium",
"Switzerland",
"List of Species",
"The table includes species that are invasive in this region, those for which there is no data on invasive status, and also species that are not invasive in the region but are reported as invasive elsewhere. This summary table is based on all the information available.When several references are cited, they may give conflicting information on the distribution record.Further confirmation should be sought before use. Records are included from full and basic datasheets.",
"Domain","Kingdom","Phylum","Species","Distribution","Origin","Invasive","References","Datasheet Status",
"Eukaryota","Chromista","Oomycota","Phytophthora infestans (Phytophthora blight)","Present","","","UK, CAB International (1982); Carter et al. (1990); Knapova and Gisi (2002)","Full",
"Eukaryota","Chromista","Oomycota","Phytophthora ramorum (Sudden Oak Death (SOD))","Present, Few occurrences","","","CABI/EPPO (2013); EPPO (2020)","Full",
"Eukaryota","Chromista","Oomycota","Plasmopara halstedii (downy mildew of sunflower)","Present, Widespread","","","CABI and EPPO (2014); EPPO (2020)","Full",
"Eukaryota","Chromista","Oomycota","Plasmopara viticola (grapevine downy mildew)","Present","","","UK, CAB International (1988)","Full",
"Eukaryota","Fungi","Ascomycota","Apiognomonia errabunda (anthracnose)","Present, Widespread","","","Toti et al. (1992); Toti et al. (1993); Viret and Petrini (1994)","Full",
"Eukaryota","Fungi","Ascomycota","Bipolaris victoriae (Victoria blight of oats)","Present, Localized","","","EPPO (2020); UK, CAB International (1990)","Full",
"Eukaryota","Fungi","Ascomycota","Blumeria graminis (powdery mildew of grasses and cereals)","Present","","","Anon (1994); CABI and EPPO (2004)","Full",
"Eukaryota","Fungi","Ascomycota","Calonectria pseudonaviculata (Buxus blight)","Present","Introduced","Invasive","Saracchi et al. (2008); CABI/EPPO (2012); Gehesquière et al. (2016); EPPO (2020)","Full",
"Eukaryota","Fungi","Ascomycota","Ceratocystis fimbriata (Ceratocystis blight)","Present","Introduced","Invasive","Matasci and Gessler (1997); CABI (Undated)","Full",
"Eukaryota","Fungi","Ascomycota","Ceratocystis platani (canker stain of plane)","Present, Localized","Introduced","","Bolay and Mauri (1988); CABI/EPPO (2013); EPPO (2020)","Full",
"Eukaryota","Fungi","Ascomycota","Ciborinia camelliae (flower blight)","Present, Localized","","","Peper (1999); EPPO (2020)","Full",
"Eukaryota","Fungi","Ascomycota","Colletotrichum acutatum (black spot of strawberry)","Present","","","CABI and EPPO (2010); Michel et al. (2011); Michel et al. (2013); EPPO (2020)","Full",
"Eukaryota","Fungi","Ascomycota","Cryphonectria parasitica (blight of chestnut)","Present, Widespread","","","CABI and EPPO (2015); EPPO (2020)","Full",
"Eukaryota","Fungi","Ascomycota","Cyclaneusma minus (Cyclaneusma needle-cast)","Present","Native","","Minter (1994)","Full",
"Eukaryota","Fungi","Ascomycota","Diaporthe eres (apple leaf, branch and fruit fungus)","Present","","","Toti et al. (1993); Sieber and Hugentobler (1987)","Full",
"Eukaryota","Fungi","Ascomycota","Didymascella thujina (cedar leaf blight)","Present","Introduced","Invasive","Peace (1955)","Full",
"Eukaryota","Fungi","Ascomycota","Didymella fabae (leaf and pod spot)","Present","Introduced","Invasive","Gindrat et al. (1988); Punithalingam (1993); UK, CAB International (1993)","Full",
"Eukaryota","Fungi","Ascomycota","Discula destructiva (anthracnose of dogwood)","Present, Localized","","","EPPO (2020)","Full",
"Eukaryota","Fungi","Ascomycota","Entoleuca mammata","Present","","","CABI Data Mining (2011); EPPO (2020)","Basic",
"Eukaryota","Fungi","Ascomycota","Erysiphe platani","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Fungi","Ascomycota","Erysiphe russellii","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Fungi","Ascomycota","Erysiphe sedi","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Fungi","Ascomycota","Erysiphe syringae-japonicae","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Fungi","Ascomycota","Erysiphe vanbruntiana","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Fungi","Ascomycota","Glomerella acutata","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Fungi","Ascomycota","Gremmeniella abietina (Brunchorstia disease)","Present, Widespread","","","UK, CAB International (1989); EPPO (2020)","Full",
"Eukaryota","Fungi","Ascomycota","Hymenoscyphus fraxineus (ash dieback)","Present","","","EPPO (2020); Breitenbach and Kranzlin (1984); Jankovský and Holdenrieder (2009); Queloz et al. (2011); CABI/EPPO (2013); Baral and Bemmann (2014); Schoebel et al. (2014); Burokiene et al. (2015); Gross and Holdenrieder (2015); Gross and Sieber (2016)","Full",
"Eukaryota","Fungi","Ascomycota","Lachnellula willkommii (European larch canker)","Present","","","Spaulding (1961)","Full",
"Eukaryota","Fungi","Ascomycota","Monilinia fructigena (brown rot)","Present, Widespread","","","CABI and EPPO (2000); Hrustic et al. (2015); Freimoser et al. (2016); EPPO (2020)","Full",
"Eukaryota","Fungi","Ascomycota","Mycosphaerella dearnessii (brown spot needle blight)","Present","","","Holdenrieder and Sieber (1995); CABI and EPPO (2010); EPPO (2020)","Full",
