lon,lat,place,waterbody,id,name,ws,fh
7.253285000000001,47.138822999999995,jura-2,suze,3,biel,151,
7.791570000000000,46.685609999999997,sundgraben-port,thunersee,1,beatenberg,572,
7.252867299999999,47.137584699999998,salome-3,suze,3,biel,151,
7.252759900000000,47.137272600000003,salome-4,suze,3,biel,151,
7.252618500000000,47.136619200000013,alleestrasse-4,suze,3,biel,151,
7.261209800000000,47.143164200000008,energie-1,suze,3,biel,151,
7.268129900000000,47.153188299999997,boujean-1,suze,2,biel,151,
7.268255099999998,47.153190000000002,boujean-2,suze,2,biel,151,
7.267379400000001,47.146386799999995,bluets-2,suze,2,biel,151,
7.261146200000000,47.143070399999999,energie-3,suze,3,biel,151,
7.268205700000000,47.153129799999995,boujean-3,suze,2,biel,151,
7.252672800000000,47.136287599999996,alleestrasse-3,suze,3,biel,151,
7.252808700000000,47.135908899999997,alleestrasse-2,suze,3,biel,151,
7.253001900000000,47.135752900000000,alleestrasse-1,suze,3,biel,151,
7.268384200000003,47.152524000000000,schlosslistrasse,suze,2,biel,151,
7.268879800000000,47.152290999999998,sonnenfeld-1,suze,2,biel,151,
7.270930400000000,47.149452399999994,college,suze,2,biel,151,
7.252741100000000,47.137471500000004,salome-5,suze,3,biel,151,
7.267114200000001,47.146202000000002,bluets-3,suze,2,biel,151,
7.270673100000000,47.148008300000001,football-1,suze,2,biel,151,
7.270646200000000,47.148247300000001,football-3,suze,2,biel,151,
7.270375400000000,47.147826000000002,football-2,suze,2,biel,151,
7.270121899999999,47.147608899999994,football-4,suze,2,biel,151,
7.269864400000000,47.147419200000002,football-5,suze,2,biel,151,
7.271020000000000,47.149911200000012,schlosslifeld-2,suze,2,biel,151,
7.270712200000000,47.150702400000000,schlosslifeld-3,suze,2,biel,151,
7.270183800000001,47.151210799999994,schlosslifeld-1,suze,2,biel,151,
7.269338200000000,47.152001700000007,sonnenfeld-2,suze,2,biel,151,
7.253058200000000,47.137335700000001,cygnes-lot-1,suze,3,biel,151,
7.249405499999999,47.171443200000013,frinvillier-fabrique-2,suze f,4,biel,151,
7.248372800000000,47.172566400000001,frinvillier-fabrique-1,suze f,4,biel,151,
7.251151600000000,47.170699200000001,frinvillier-fabrique-3,suze f,4,biel,151,
7.252955500000000,47.137609200000000,cygnes-lot-2,suze,3,biel,151,
7.250094700000000,47.171035199999999,frinvillier-fabrique-4,suze f,4,biel,151,
7.252793799999999,47.137203799999995,cygnes-lot-3,suze,3,biel,151,
7.253133300000000,47.137255700000004,cygnes-lot-4,suze,3,biel,151,
7.265759800000000,47.145085500000000,schussinsel-1,suze,2,biel,151,
7.265497800000000,47.145038599999999,schussinsel-2,suze,2,biel,151,
7.253418200000000,47.137381099999999,cygnes-lot-5,suze,3,biel,151,
7.253209299999999,47.137895799999995,cygnes,suze,3,biel,151,
7.270949300000000,47.148877399999996,lezard-1,suze,2,biel,151,
7.255681100000000,47.140148600000003,cff-lot-1,suze,3,biel,151,
7.255021200000000,47.139940600000003,cff-lot-2,suze,3,biel,151,
7.451566600000000,46.989949899999999,reichenbach,emme,8,langnau,317,
7.252415200000002,47.171107499999998,transjurane-tunnel,suze f,4,biel,151,
7.246014400000000,47.178622600000004,rondchatel,suze f,4,biel,151,
7.249984299999999,47.189005000000002,pery-taubenlochweg,suze f,4,biel,151,
7.233561300000000,47.162853000000013,orvin-petit-moulin,orvine,4,biel,151,
6.777865299999998,46.815594399999995,cheyres-path,neuenburgersee,10,region six,0,
6.774843400000001,46.813844000000003,cheyres-reserve,neuenburgersee,10,region six,0,
7.796074799999999,46.685987299999994,sundgraben-gorge,thunersee,7,interlaken,573,
7.795710000000001,46.685551300000000,sundgraben-forest-left,thunersee,7,interlaken,573,
7.796025800000000,46.685362800000000,sundgraben-forest-right,thunersee,7,interlaken,573,
7.253458400000000,47.139109699999999,cff-path-1,suze,3,biel,151,
7.268194000000000,47.146413799999998,schussinsel-3,suze,2,biel,151,
7.253164999999999,47.137455299999999,cygnes-lot-6,suze,3,biel,151,
7.160647099999998,47.047615399999998,lucherz-seestrasse,bielersee,6,erlach,252,
7.159131900000000,47.048391299999992,lucherz-bureli,bielersee,6,erlach,252,
7.135875599999999,47.083975799999997,ligerz-favorite,bielersee,2,biel,151,
7.252964100000002,47.137413099999996,cygnes-lot-7,suze,3,biel,151,
7.252821900000000,47.137328799999992,cygnes-lot-8,suze,3,biel,151,
7.153849799999999,47.091818400000001,twann-estuary,bielersee,2,biel,151,
7.147639999999999,47.096340000000012,twann-gorges,bielersee,2,biel,151,
7.252670100000000,47.137259100000001,salome-1,suze,3,biel,151,
7.253160400000001,47.138913399999993,jura-1,suze,3,biel,151,
7.255884299999999,47.140074400000003,cff-path-2,suze,3,biel,151,
7.256480300000000,47.140318999999998,cff-path-3,suze,3,biel,151,
7.256495500000000,47.140861700000002,sureaux,suze,3,biel,151,
7.795509700000001,46.685236900000000,sundgraben-bridge-left,thunersee,7,interlaken,573,
7.268477900000001,47.153027299999998,buren-1,suze,2,biel,151,
7.269041900000001,47.152380000000001,buren-2,suze,2,biel,151,
7.269572999999999,47.152029799999994,buren-3,suze,2,biel,151,
7.263241000000003,47.144303999999998,chapelle,suze,3,biel,151,
7.264084700000002,47.144203300000001,schussinsel-4,suze,3,biel,151,
7.263652900000001,47.144163200000001,schussinsel-5,suze,3,biel,151,
7.263274900000001,47.144054400000002,schussinsel-6,suze,3,biel,151,
7.261401400000001,47.143514600000003,hayek-1,suze,3,biel,151,
7.262887400000001,47.143979799999997,swatch-2,suze,3,biel,151,
