place,date,genus_species,time,species_slug,place_slug
gottstatt 2,2020-08-16,medicago varia,14:04:03,medicago-sativa,gottstatt-2
gottstatt 2,2020-08-16,knautia arvensis agg.,14:03:22,knautia-arvensis,gottstatt-2
gottstatt 2,2020-08-16,acer pseudoplatanus,13:43:18,acer-pseudoplatanus,gottstatt-2
gottstatt 3,2020-08-24,achillea millefolium agg.,18:26:38,achillea-millefolium,gottstatt-3
gottstatt 3,2020-08-24,cirsium arvense,18:25:56,cirsium-arvense,gottstatt-3
gottstatt 3,2020-08-24,daucus carota,18:15:58,daucus-carota,gottstatt-3
gottstatt 3,2020-08-24,erigeron annuus,18:17:04,erigeron-annuus,gottstatt-3
gottstatt 3,2020-08-24,galium mollugo agg.,18:14:33,galium-mollugo,gottstatt-3
gottstatt 3,2020-08-24,lotus corniculatus agg.,18:15:24,lotus-corniculatus,gottstatt-3
gottstatt 3,2020-08-24,malva moschata,18:13:03,malva-moschata,gottstatt-3
gottstatt 3,2020-08-24,plantago media agg.,18:27:01,plantago-media,gottstatt-3
gottstatt 3,2020-08-24,rumex obtusifolius,18:17:58,rumex-obtusifolius,gottstatt-3
gottstatt 3,2020-08-24,silene vulgaris,18:22:20,silene-vulgaris,gottstatt-3
gottstatt 3,2020-08-24,solanum dulcamara,18:24:47,solanum-dulcamara,gottstatt-3
gottstatt 3,2020-08-24,solidago canadensis,18:16:45,solidago-canadensis,gottstatt-3
gottstatt 3,2020-08-24,trifolium pratense,18:20:53,trifolium-pratense,gottstatt-3
gottstatt 3,2020-08-24,vicia cracca agg.,18:20:05,vicia-cracca,gottstatt-3
gottstatt 3,2020-08-24,verbena officinalis,18:31:47,verbena-officinalis,gottstatt-3
hayek 1,2020-09-01,reseda lutea,12:58:00 PM,reseda-lutea,hayek-1
hayek 1,2020-09-01,cosmos bipinnatus,12:57:35 PM,cosmos-bipinnatus,hayek-1
hayek 1,2020-09-01,symphytum officinale agg.,12:54:53 PM,symphytum-officinale,hayek-1
hayek 1,2020-09-01,medicago sativa,12:53:08 PM,medicago-sativa,hayek-1
jura 1,2020-07-28,senecio inaequidens,11:24:05,senecio-inaequidens,jura-1
jura 1,2020-08-08,dianthus carthusianorum agg.,18:38:53,dianthus-carthusianorum,jura-1
jura 1,2020-08-08,eupatorium cannabinum,18:37:13,eupatorium-cannabinum,jura-1
jura 1,2020-08-08,knautia arvensis agg.,18:40:44,knautia-arvensis,jura-1
jura 1,2020-08-08,origanum vulgare agg.,18:35:09,origanum-vulgare,jura-1
jura 2,2020-07-09,verbascum negris,,verbascum-nigrum,jura-2
jura 2,2020-06-20,onobrychis viciifolia,,onobrychis-viciifolia,jura-2
jura 2,2020-06-20,securigea varia,,securigera-varia,jura-2
jura 2,2020-06-28,chelidonium majus,,chelidonium-majus,jura-2
jura 2,2020-06-28,malva alcea,,malva-alcea,jura-2
jura 2,2020-06-28,silene vulgaris,12:00:00 PM,silene-vulgaris,jura-2
jura 2,2020-06-28,reseda lutea,,reseda-lutea,jura-2
jura 2,2020-06-28,echium vulgare,,echium-vulgare,jura-2
jura 2,2020-06-28,calystegia sepium agg.,,calystegia-sepium,jura-2
jura 2,2020-06-28,geum urbanum,,geum-urbanum,jura-2
lezard 1,2020-07-12,malva alcea,,malva-alcea,lezard-1
lezard 1,2020-08-04,galeopsis tetrahit agg.,09:52:28,galeopsis-tetrahit,lezard-1
lezard 1,2020-08-04,linaria vulgaris agg.,09:51:23,linaria-vulgaris,lezard-1
lezard 1,2020-08-04,cornus sanguinea,09:50:34,cornus-sanguinea,lezard-1
lezard 1,2020-08-04,malva alcea,09:48:33,malva-alcea,lezard-1
ligerz favorite,2020-07-29,sedum album,09:46:19,sedum-album,ligerz-favorite
ligerz favorite,2020-07-29,crepis capillaris,09:41:51,crepis-capillaris,ligerz-favorite
lucherz bureli,2020-07-27,bellis perennis,10:18:45,bellis-perennis,lucherz-bureli
lucherz bureli,2020-07-27,filipendula ulmaria,10:11:36,filipendula-ulmaria,lucherz-bureli
lucherz bureli,2020-07-27,ranunculus acris agg.,10:01:15,ranunculus-acris,lucherz-bureli
lucherz seestrasse,2020-07-27,circaea lutetiana,09:55:24,circaea-lutetiana,lucherz-seestrasse
lucherz seestrasse,2020-07-27,filipendula ulmaria,09:53:05,filipendula-ulmaria,lucherz-seestrasse
lucherz seestrasse,2020-07-27,chaerophyllum temulum,09:46:59,chaerophyllum-temulum,lucherz-seestrasse
lucherz seestrasse,2020-07-27,lythrum salicaria,09:45:58,lythrum-salicaria,lucherz-seestrasse
lucherz seestrasse,2020-07-27,knautia maxima,09:44:07,knautia-dipsacifolia,lucherz-seestrasse
lucherz seestrasse,2020-07-27,viburnum lantana,09:41:15,viburnum-lantana,lucherz-seestrasse
lucherz seestrasse,2020-07-27,galium mollugo agg.,09:38:08,galium-mollugo,lucherz-seestrasse
lucherz seestrasse,2020-07-27,heracleum sphondylium,09:14:31,heracleum-sphondylium,lucherz-seestrasse
lucherz seestrasse,2020-07-27,urtica dioica,09:11:40,urtica-dioica,lucherz-seestrasse
orvin petit moulin,2020-09-17,trifolium pratense,10:09:55,trifolium-pratense,orvin-petit-moulin
orvin petit moulin,2020-09-17,knautia arvensis agg.,10:09:27,knautia-arvensis,orvin-petit-moulin
orvin petit moulin,2020-09-17,trifolium dubium agg.,10:07:34,trifolium-dubium,orvin-petit-moulin
orvin petit moulin,2020-09-17,galeopsis tetrahit agg.,10:05:52,galeopsis-tetrahit,orvin-petit-moulin
orvin petit moulin,2020-09-17,rubus caesius,10:03:52,rubus-caesius,orvin-petit-moulin
orvin petit moulin,2020-09-17,prunus spinosa agg.,10:02:47,prunus-spinosa,orvin-petit-moulin
pery taubenlochweg,2020-09-22,echium vulgare,09:14:11,echium-vulgare,pery-taubenlochweg
pery taubenlochweg,2020-09-22,centaurea jacea agg.,09:13:19,centaurea-jacea,pery-taubenlochweg
pery taubenlochweg,2020-09-22,galium mollugo agg.,09:12:46,galium-mollugo,pery-taubenlochweg
pery taubenlochweg,2020-09-22,medicago sativa,09:11:50,medicago-sativa,pery-taubenlochweg
pery taubenlochweg,2020-09-22,silene vulgaris,09:10:45,silene-vulgaris,pery-taubenlochweg
pery taubenlochweg,2020-09-22,verbascum nigrum,09:10:03,verbascum-nigrum,pery-taubenlochweg
pieterlen stockweg,2020-09-25,silene dioica,09:55:28,silene-dioica,pieterlen-stockweg
reichenbach,2020-09-23,erigeron canadensis,12:27:46,erigeron-canadensis,reichenbach
reichenbach,2020-09-23,cirsium oleraceum,12:25:36,cirsium-oleraceum,reichenbach
reichenbach,2020-09-23,reynoutria japonica,12:24:58,reynoutria-japonica,reichenbach
reichenbach,2020-09-23,hieracium aurantiacum,12:12:20,pilosella-aurantiaca,reichenbach
reichenbach,2020-09-23,eupatorium cannabinum,12:10:25,eupatorium-cannabinum,reichenbach
reichenbach,2020-09-23,rubus caesius,12:07:54,rubus-caesius,reichenbach
reichenbach,2020-09-23,mentha aquatica,12:01:48,mentha-aquatica,reichenbach
reichenbach,2020-09-23,cirsium arvense,12:00:44,cirsium-arvense,reichenbach
reichenbach,2020-09-23,tragopogon pratensis,11:24:58,tragopogon-pratensis,reichenbach
rondchatel,2020-09-22,geranium pyrenaicum,09:52:56,geranium-pyrenaicum,rondchatel
rondchatel,2020-09-22,achillea millefolium agg.,09:52:06,achillea-millefolium,rondchatel
rondchatel,2020-09-22,picris hieracioides,09:49:19,picris-hieracioides,rondchatel
rondchatel,2020-09-22,urtica dioica,09:48:41,urtica-dioica,rondchatel
rondchatel,2020-09-22,solidago canadensis,09:47:56,solidago-canadensis,rondchatel
rondchatel,2020-09-22,calystegia sepium agg.,09:47:29,calystegia-sepium,rondchatel
rondchatel,2020-09-22,lamium maculatum,09:45:06,lamium-maculatum,rondchatel
rondchatel,2020-09-22,erigeron annuus,09:44:15,erigeron-annuus,rondchatel
rue alfred-aebi,2020-08-11,urtica dioica,18:45:26,urtica-dioica,rue-alfred-aebi
rue alfred-aebi,2020-08-11,ligustrum sinense,18:44:33,ligustrum-sinense,rue-alfred-aebi
rue alfred-aebi,2020-08-11,symphoricarpos albus,18:43:25,symphoricarpos-albus,rue-alfred-aebi
rue alfred-aebi,2020-08-11,acer pseudoplatanus,18:38:21,acer-pseudoplatanus,rue-alfred-aebi
rue alfred-aebi,2020-08-11,corylus avellana,18:36:59,corylus-avellana,rue-alfred-aebi
rue alfred-aebi,2020-08-11,acer pseudoplatanus,18:35:28,acer-pseudoplatanus,rue-alfred-aebi
rue alfred-aebi,2020-08-11,sambucus nigra,18:34:24,sambucus-nigra,rue-alfred-aebi
rue alfred-aebi,2020-08-12,viburnum rhytidophyllum,09:10:18,viburnum-rhytidophyllum,rue-alfred-aebi
rue centrale,2020-07-11,lathyrus latifolius,,lathyrus-latifolius,rue-centrale
rue centrale,2020-07-11,malva moschata,,malva-moschata,rue-centrale
rue centrale,2020-07-11,stachys byzantina,,stachys-byzantina,rue-centrale
rue centrale,2020-07-11,dianthus armeria,,dianthus-armeria,rue-centrale
rue centrale,2020-07-11,rubus caesius,,rubus-caesius,rue-centrale
rue de leau 1,2020-08-23,achillea millefolium agg.,18:27:27,achillea-millefolium,rue-de-leau-1
rue de leau 1,2020-08-23,buddleja davidii,18:31:30,buddleja-davidii,rue-de-leau-1
rue de leau 1,2020-08-23,daucus carota,18:26:38,daucus-carota,rue-de-leau-1
rue de leau 1,2020-08-23,solanum nigrum,18:28:37,solanum-nigrum,rue-de-leau-1
rue de leau 1,2020-08-23,stachys recta agg.,18:22:52,stachys-recta,rue-de-leau-1
rue de leau 1,2020-08-23,centaurea scabiosa,18:21:37,centaurea-scabiosa,rue-de-leau-1
rue de leau 1,2020-08-23,lotus corniculatus agg.,18:20:53,lotus-corniculatus,rue-de-leau-1
rue de leau 1,2020-08-23,hypericum perforatum,18:15:33,hypericum-perforatum,rue-de-leau-1
rue de leau 1,2020-08-23,oenothera biennis,18:13:40,oenothera-biennis,rue-de-leau-1
rue de leau 1,2020-08-23,centaurea jacea agg.,18:07:11,centaurea-jacea,rue-de-leau-1
rue de leau 1,2020-08-23,centaurea jacea agg.,18:06:20,centaurea-jacea,rue-de-leau-1
rue de leau 1,2020-08-23,trifolium pratense,18:05:23,trifolium-pratense,rue-de-leau-1
rue de leau 1,2020-08-23,melilotus albus,18:04:12,melilotus-albus,rue-de-leau-1
rue de leau 1,2020-08-23,erigeron canadensis,18:03:33,erigeron-canadensis,rue-de-leau-1
rue de leau 2,2020-08-01,brassica napus,09:34:36,brassica-napus,rue-de-leau-2
rue de leau 2,2020-08-03,crepis capillaris,13:54:36,crepis-capillaris,rue-de-leau-2
rue de leau 2,2020-08-03,silene vulgaris,13:50:52,silene-vulgaris,rue-de-leau-2
rue de leau 2,2020-08-03,picris hieracioides,13:45:46,picris-hieracioides,rue-de-leau-2
rue de leau 3,2020-08-01,oenothera biennis,09:29:48,oenothera-biennis,rue-de-leau-3
rue de leau 3,2020-08-01,silene vulgaris,09:27:52,silene-vulgaris,rue-de-leau-3
rue de leau 3,2020-08-01,silene latifolia,09:26:00,silene-latifolia,rue-de-leau-3
rue de leau 3,2020-08-01,reseda lutea,09:24:32,reseda-lutea,rue-de-leau-3
rue de leau 3,2020-08-01,centaurea scabiosa,09:17:25,centaurea-scabiosa,rue-de-leau-3
rue de leau 3,2020-08-01,tragopogon pratensis,09:14:52,tragopogon-pratensis,rue-de-leau-3
rue de leau 3,2020-08-01,daucus carota,09:14:08,daucus-carota,rue-de-leau-3
rue de leau 4,2020-08-17,galium mollugo agg.,18:49:24,galium-mollugo,rue-de-leau-4
rue de leau 4,2020-08-17,erigeron canadensis,18:48:51,erigeron-canadensis,rue-de-leau-4
rue de leau 4,2020-08-17,lotus corniculatus agg.,18:45:50,lotus-corniculatus,rue-de-leau-4
rue de leau 4,2020-08-17,rumex obtusifolius,18:44:40,rumex-obtusifolius,rue-de-leau-4
rue de leau 4,2020-08-17,trifolium pratense,18:33:35,trifolium-pratense,rue-de-leau-4
rue de leau 4,2020-08-17,daucus carota,18:30:49,daucus-carota,rue-de-leau-4
rue de leau 4,2020-08-17,silene vulgaris,18:28:58,silene-vulgaris,rue-de-leau-4
rue de leau 4,2020-08-17,achillea millefolium agg.,18:27:04,achillea-millefolium,rue-de-leau-4
rue de leau 4,2020-08-17,melilotus albus,18:25:47,melilotus-albus,rue-de-leau-4
rue de leau 4,2020-08-17,stachys recta agg.,18:22:09,stachys-recta,rue-de-leau-4
rue de leau 4,2020-08-17,centaurea scabiosa,18:20:54,centaurea-scabiosa,rue-de-leau-4
rue de leau 4,2020-08-17,centaurea jacea agg.,18:20:14,centaurea-jacea,rue-de-leau-4
rue de leau 5,2020-08-18,prunella grandiflora,18:13:06,prunella-grandiflora,rue-de-leau-5
rue de leau 5,2020-08-18,eupatorium serotinum,18:12:23,eupatorium-serotinum,rue-de-leau-5
rue de leau 5,2020-08-18,leucanthemum vulgare agg.,18:08:34,leucanthemum-vulgare,rue-de-leau-5
rue de leau 5,2020-08-18,lotus corniculatus agg.,18:07:45,lotus-corniculatus,rue-de-leau-5
rue de leau 5,2020-08-18,daucus carota,18:07:06,daucus-carota,rue-de-leau-5
rue de leau 5,2020-08-18,trifolium pratense,18:06:20,trifolium-pratense,rue-de-leau-5
rue de leau 5,2020-08-18,silene vulgaris,18:05:47,silene-vulgaris,rue-de-leau-5
rue de leau 5,2020-08-18,achillea millefolium agg.,18:05:02,achillea-millefolium,rue-de-leau-5
saint ursanne falls,2020-08-20,myosoton aquaticum,11:53:16,myosoton-aquaticum,saint-ursanne-falls
saint ursanne falls,2020-08-20,impatiens glandulifera,11:52:15,impatiens-glandulifera,saint-ursanne-falls
salome 1,2020-08-15,mentha spicata agg.,18:48:44,mentha-spicata,salome-1
salome 1,2020-08-15,artemisia vulgaris agg.,18:46:17,artemisia-vulgaris,salome-1
salome 1,2020-08-15,populus alba agg.,18:45:44,populus-alba,salome-1
salome 1,2020-08-15,alnus glutinosa,18:42:33,alnus-glutinosa,salome-1
salome 1,2020-08-15,salix alba,18:33:50,salix-alba,salome-1
salome 1,2020-08-15,salix purpurea,18:25:12,salix-purpurea,salome-1
salome 1,2020-08-15,sambucus nigra,18:24:35,sambucus-nigra,salome-1
salome 1,2020-08-15,crataegus monogyna,18:23:38,crataegus-monogyna,salome-1
salome 2,2020-06-05,galium mollugo agg.,11:40:00 AM,galium-mollugo,salome-2
salome 2,2020-07-23,echium vulgare,09:30:00 PM,echium-vulgare,salome-2
salome 2,2020-07-24,sedum sexangulare,09:30:00 PM,sedum-sexangulare,salome-2
salome 2,2020-07-24,sedum album,09:30:00 PM,sedum-album,salome-2
salome 3,2020-06-05,senecio inaequidens,11:40:00 AM,senecio-inaequidens,salome-3
salome 3,2020-06-05,sedum album,11:40:00 AM,sedum-album,salome-3
salome 4,2020-06-03,galium album,,galium-album,salome-4
salome 4,2020-06-03,sedum album,,sedum-album,salome-4
salome 5,2020-06-24,cirsium palustre,,cirsium-palustre,salome-5
salome 5,2020-06-24,erigeron annuus,,erigeron-annuus,salome-5
salome 5,2020-06-24,sysimbrium officinale,,sisymbrium-officinale,salome-5
salome 5,2020-06-24,urtica dioica,,urtica-dioica,salome-5
salome 5,2020-06-24,galium mollugo agg.,,galium-mollugo,salome-5
salome 5,2020-06-24,mentha spicata agg.,,mentha-spicata,salome-5
salome 5,2020-06-24,oenothera biennis,,oenothera-biennis,salome-5
salome 5,2020-06-24,geranium pyrenaicum ,,geranium-pyrenaicum,salome-5
salome 5,2020-06-24,hypericum maculatum,,hypericum-maculatum,salome-5
salome 5,2020-06-24,medicago sativa,,medicago-sativa,salome-5
schlosslifeld 1,2020-07-04,dipsacus fullonum,,dipsacus-fullonum,schlosslifeld-1
schlosslifeld 1,2020-07-04,cichorium intybus,,cichorium-intybus,schlosslifeld-1
schlosslifeld 1,2020-07-04,echium vulgare,,echium-vulgare,schlosslifeld-1
schlosslifeld 2,2020-07-04,potentilla reptans,,potentilla-reptans,schlosslifeld-2
schlosslifeld 2,2020-07-04,echium vulgare,,echium-vulgare,schlosslifeld-2
schlosslifeld 2,2020-07-04,silene latifolia,,silene-latifolia,schlosslifeld-2
schlosslifeld 2,2020-07-04,cichorium intybus,,cichorium-intybus,schlosslifeld-2
schlosslifeld 2,2020-07-04,malva alcea,,malva-alcea,schlosslifeld-2
schlosslifeld 2,2020-08-19,galeopsis tetrahit agg.,15:55:05,galeopsis-tetrahit,schlosslifeld-2
schlosslifeld 2,2020-08-19,silene latifolia,15:52:00,silene-latifolia,schlosslifeld-2
schlosslifeld 2,2020-08-19,polygonum aviculare agg.,15:50:20,polygonum-aviculare,schlosslifeld-2
schlosslifeld 2,2020-08-19,echium vulgare,15:49:38,echium-vulgare,schlosslifeld-2
schlosslifeld 2,2020-08-19,chaenorhinum minus agg.,15:46:04,chaenorhinum-minus,schlosslifeld-2
schlosslifeld 2,2020-08-19,geranium pusillum,15:39:29,geranium-pusillum,schlosslifeld-2
schlosslifeld 2,2020-08-19,acer pseudoplatanus,15:38:48,acer-pseudoplatanus,schlosslifeld-2
schlosslifeld 2,2020-08-19,dianthus armeria,15:35:59,dianthus-armeria,schlosslifeld-2
schlosslifeld 3,2020-07-04,filipendula ulmaria,,filipendula-ulmaria,schlosslifeld-3
schlosslifeld 3,2020-07-04,echium vulgare,,echium-vulgare,schlosslifeld-3
schlosslifeld 3,2020-07-04,melilotus albus,,melilotus-albus,schlosslifeld-3
schlosslifeld 3,2020-07-04,ranunculus acris agg.,,ranunculus-acris,schlosslifeld-3
schlosslifeld 3,2020-07-04,tragopogon pratensis,,tragopogon-pratensis,schlosslifeld-3
schlosslifeld 3,2020-07-07,malva alcea,12:50:00 PM,malva-alcea,schlosslifeld-3
schlosslifeld 3,2020-07-04,malva sylvestris,,malva-sylvestris,schlosslifeld-3
schlosslistrasse,2020-06-18,alcea rosea,,alcea-rosea,schlosslistrasse
schlosslistrasse,2020-06-18,geranium molle,,geranium-molle,schlosslistrasse
schlosslistrasse,2020-06-18,achillea millefolium agg.,,achillea-millefolium,schlosslistrasse
schlosslistrasse,2020-06-18,senecio inaequidens,,senecio-inaequidens,schlosslistrasse
schlosslistrasse,2020-06-18,daucus carota,,daucus-carota,schlosslistrasse
schlosslistrasse,2020-06-18,lepidium virginicum,,lepidium-virginicum,schlosslistrasse
schussinsel 3,2020-07-10,daucus carota,,daucus-carota,schussinsel-3
schussinsel 1,2020-07-10,convolvulus arvensis,,convolvulus-arvensis,schussinsel-1
schussinsel 2,2020-07-10,lactuca serriola,,lactuca-serriola,schussinsel-2
schussinsel 2,2020-07-10,tragopogon pratensis,,tragopogon-pratensis,schussinsel-2
schussinsel 3,2020-07-10,oenothera biennis,,oenothera-biennis,schussinsel-3
schussinsel 3,2020-07-10,hypericum perforatum,,hypericum-perforatum,schussinsel-3
schussinsel 3,2020-07-10,verbascum thapsus,,verbascum-thapsus,schussinsel-3
schussinsel 3,2020-07-10,medicago varia,,medicago-sativa,schussinsel-3
schussinsel 3,2020-07-10,erigeron annuus,,erigeron-annuus,schussinsel-3
schussinsel 3,2020-07-10,cirsium arvense,,cirsium-arvense,schussinsel-3
schussinsel 4,2020-09-01,centaurea jacea agg.,06:13:56 PM,centaurea-jacea,schussinsel-4
schussinsel 4,2020-09-01,erigeron annuus,06:13:15 PM,erigeron-annuus,schussinsel-4
schussinsel 4,2020-09-01,erigeron canadensis,06:12:55 PM,erigeron-canadensis,schussinsel-4
schussinsel 4,2020-09-01,silene vulgaris,06:12:29 PM,silene-vulgaris,schussinsel-4
schussinsel 4,2020-09-01,lotus corniculatus agg.,06:12:05 PM,lotus-corniculatus,schussinsel-4
schussinsel 4,2020-09-01,salvia pratensis,06:11:50 PM,salvia-pratensis,schussinsel-4
schussinsel 4,2020-09-01,trifolium pratense,06:11:33 PM,trifolium-pratense,schussinsel-4
schussinsel 4,2020-09-01,trifolium repens,06:10:10 PM,trifolium-repens,schussinsel-4
schussinsel 4,2020-09-01,campanula rotundifolia agg.,06:09:46 PM,campanula-rotundifolia,schussinsel-4
schussinsel 4,2020-09-01,calystegia sepium agg.,06:08:21 PM,calystegia-sepium,schussinsel-4
schussinsel 4,2020-09-01,centaurea jacea agg.,06:05:52 PM,centaurea-jacea,schussinsel-4
schussinsel 4,2020-09-01,scabiosa columbaria agg.,06:04:59 PM,scabiosa-columbaria,schussinsel-4
schussinsel 4,2020-09-01,erigeron annuus,06:03:56 PM,erigeron-annuus,schussinsel-4
schussinsel 4,2020-09-01,trifolium pratense,06:03:09 PM,trifolium-pratense,schussinsel-4
schussinsel 4,2020-09-01,silene vulgaris,06:02:15 PM,silene-vulgaris,schussinsel-4
schussinsel 4,2020-09-01,leucanthemum vulgare agg.,06:01:50 PM,leucanthemum-vulgare,schussinsel-4
schussinsel 4,2020-09-01,onobrychis viciifolia,,onobrychis-viciifolia,schussinsel-4
schussinsel 5,2020-09-02,rumex obtusifolius,03:58:39 PM,rumex-obtusifolius,schussinsel-5
schussinsel 5,2020-09-02,salvia pratensis,03:58:08 PM,salvia-pratensis,schussinsel-5
schussinsel 5,2020-09-02,centaurea jacea agg.,03:53:09 PM,centaurea-jacea,schussinsel-5
schussinsel 5,2020-09-02,knautia arvensis agg.,03:52:06 PM,knautia-arvensis,schussinsel-5
schussinsel 5,2020-09-02,leucanthemum vulgare agg.,03:48:07 PM,leucanthemum-vulgare,schussinsel-5
schussinsel 5,2020-09-02,succisa pratensis,03:46:25 PM,succisa-pratensis,schussinsel-5
schussinsel 5,2020-09-02,urtica dioica,03:44:44 PM,urtica-dioica,schussinsel-5
schussinsel 5,2020-09-02,rubus rubus sect.,03:44:14 PM,rubus-rubus,schussinsel-5
schussinsel 5,2020-09-02,epilobium hirsutum,03:43:29 PM,epilobium-hirsutum,schussinsel-5
schussinsel 5,2020-09-02,eupatorium cannabinum,03:43:12 PM,eupatorium-cannabinum,schussinsel-5
schussinsel 5,2020-09-02,galium mollugo agg.,03:42:28 PM,galium-mollugo,schussinsel-5
schussinsel 5,2020-09-02,artemisia vulgaris agg.,03:42:04 PM,artemisia-vulgaris,schussinsel-5
schussinsel 5,2020-09-02,potentilla reptans,03:40:33 PM,potentilla-reptans,schussinsel-5
schussinsel 5,2020-09-02,silene vulgaris,03:39:36 PM,silene-vulgaris,schussinsel-5
schussinsel 5,2020-09-02,lotus corniculatus agg.,03:38:52 PM,lotus-corniculatus,schussinsel-5
schussinsel 5,2020-09-02,erigeron annuus,03:38:23 PM,erigeron-annuus,schussinsel-5
schussinsel 6,2020-09-02,medicago sativa,03:36:16 PM,medicago-sativa,schussinsel-6
schussinsel 6,2020-09-02,daucus carota,03:35:28 PM,daucus-carota,schussinsel-6
schussinsel 6,2020-09-02,silene vulgaris,03:33:53 PM,silene-vulgaris,schussinsel-6
schussinsel 6,2020-09-02,epilobium hirsutum,03:32:38 PM,epilobium-hirsutum,schussinsel-6
schussinsel 6,2020-09-02,urtica dioica,03:32:24 PM,urtica-dioica,schussinsel-6
schussinsel 6,2020-09-02,solidago canadensis,03:32:10 PM,solidago-canadensis,schussinsel-6
schussinsel 6,2020-09-02,galium mollugo agg.,03:31:34 PM,galium-mollugo,schussinsel-6
schussinsel 6,2020-09-02,trifolium repens,03:31:03 PM,trifolium-repens,schussinsel-6
schussinsel 6,2020-09-02,clinopodium vulgare,03:29:51 PM,clinopodium-vulgare,schussinsel-6
schussinsel 6,2020-09-02,leucanthemum vulgare agg.,03:29:04 PM,leucanthemum-vulgare,schussinsel-6
schussinsel 6,2020-09-02,trifolium pratense,03:28:42 PM,trifolium-pratense,schussinsel-6
schussinsel 6,2020-09-02,lotus corniculatus agg.,03:28:22 PM,lotus-corniculatus,schussinsel-6
schussinsel 6,2020-09-02,onobrychis viciifolia agg.,03:27:45 PM,onobrychis-viciifolia,schussinsel-6
sonnenfeld 1,2020-06-09,bryonia dioica,,bryonia-dioica,sonnenfeld-1
sonnenfeld 1,2020-06-18,geranium robertanium,,geranium-robertianum,sonnenfeld-1
sonnenfeld 1,2020-06-18,bryonia dioica,,bryonia-dioica,sonnenfeld-1
sonnenfeld 1,2020-06-18,daucus carota,,daucus-carota,sonnenfeld-1
sonnenfeld 1,2020-06-18,malva alcea,04:00:00 PM,malva-alcea,sonnenfeld-1
sonnenfeld 1,2020-06-18,senecio inaequidens,,senecio-inaequidens,sonnenfeld-1
sonnenfeld 2,2020-07-04,melilotus albus,,melilotus-albus,sonnenfeld-2
sonnenfeld 2,2020-07-04,daucus carota,,daucus-carota,sonnenfeld-2
sonnenfeld 2,2020-07-04,geranium robertanium,,geranium-robertianum,sonnenfeld-2
sonnenfeld 2,2020-07-04,senecio inaequidens,,senecio-inaequidens,sonnenfeld-2
strom,2020-08-14,mentha spicata agg.,17:49:59,mentha-spicata,strom
strom,2020-08-14,erigeron annuus,17:49:29,erigeron-annuus,strom
strom,2020-08-14,verbena officinalis,17:46:04,verbena-officinalis,strom
strom,2020-08-14,hypericum perforatum,17:43:08,hypericum-perforatum,strom
strom,2020-08-14,mycelis muralis,17:40:57,lactuca-muralis,strom
strom,2020-08-14,eupatorium cannabinum,17:37:40,eupatorium-cannabinum,strom
strom,2020-08-14,crepis biennis,17:25:37,crepis-biennis,strom
strom,2020-08-14,rubus rubus sect.,17:23:54,rubus-rubus,strom
strom,2020-08-14,clematis vitalba,17:23:18,clematis-vitalba,strom
strom,2020-08-14,saponaria officinalis,17:22:17,saponaria-officinalis,strom
sundgraben beach,2020-08-26,buddleja davidii,10:40:30,buddleja-davidii,sundgraben-beach
sundgraben beach,2020-08-26,cornus sanguinea,10:41:29,cornus-sanguinea,sundgraben-beach
sundgraben beach,2020-08-26,cotoneaster horizontalis,10:29:53,cotoneaster-horizontalis,sundgraben-beach
sundgraben beach,2020-08-26,epilobium angustifolium,13:30:04,epilobium-angustifolium,sundgraben-beach
sundgraben beach,2020-08-26,epilobium parviflorum,13:31:55,epilobium-parviflorum,sundgraben-beach
sundgraben beach,2020-08-26,epilobium fleischeri,13:25:26,epilobium-fleischeri,sundgraben-beach
sundgraben beach,2020-08-26,erigeron annuus,10:46:03,erigeron-annuus,sundgraben-beach
sundgraben beach,2020-08-26,erigeron canadensis,10:34:33,erigeron-canadensis,sundgraben-beach
sundgraben beach,2020-08-26,eupatorium cannabinum,10:29:12,eupatorium-cannabinum,sundgraben-beach
sundgraben beach,2020-08-26,hippocrepis emerus,10:35:15,hippocrepis-emerus,sundgraben-beach
sundgraben beach,2020-08-26,hypochaeris radicata,10:52:30,hypochaeris-radicata,sundgraben-beach
sundgraben beach,2020-08-26,origanum vulgare agg.,10:58:52,origanum-vulgare,sundgraben-beach
sundgraben beach,2020-08-26,oxalis dillenii,10:20:38,oxalis-dillenii,sundgraben-beach
sundgraben beach,2020-08-26,rubus caesius,10:42:34,rubus-caesius,sundgraben-beach
sundgraben beach,2020-08-26,senecio inaequidens,10:54:57,senecio-inaequidens,sundgraben-beach
sundgraben beach,2020-08-26,silene vulgaris,13:23:41,silene-vulgaris,sundgraben-beach
sundgraben beach,2020-08-26,trifolium medium,10:44:07,trifolium-medium,sundgraben-beach
sundgraben bridge left,2020-09-05,galeopsis tetrahit agg.,11:19:35 AM,galeopsis-tetrahit,sundgraben-bridge-left
sundgraben bridge left,2020-09-05,clinopodium nepeta agg.,11:18:42 AM,clinopodium-nepeta,sundgraben-bridge-left
sundgraben bridge left,2020-09-05,oxalis dillenii,11:17:21 AM,oxalis-dillenii,sundgraben-bridge-left
sundgraben bridge left,2020-09-05,linaria repens,11:15:09 AM,linaria-repens,sundgraben-bridge-left
sundgraben bridge left,2020-09-05,oenothera biennis,11:13:31 AM,oenothera-biennis,sundgraben-bridge-left
