taxon,pourcentage de secteurs à confirmer
Pritzelago alpina (L.) Kuntze subsp. alpina,0.51
Ballota nigra subsp. meridionalis (Bég.) Bég.,0.51
Poa minor Gaudin,0.51
Circaea ×intermedia Ehrh.,0.51
Arctium nemorosum Lej.,0.51
Carex lachenalii Schkuhr,0.51
Rosa agrestis Savi,0.51
Chenopodium murale L.,0.51
Vicia cracca subsp. incana (Gouan) Rouy,0.51
Alchemilla glabra aggr.,0.5
Alchemilla pentaphyllea L.,0.5
Draba siliquosa M. Bieb.,0.5
Saussurea alpina (L.) DC. subsp. alpina,0.5
Catabrosa aquatica (L.) P. Beauv.,0.5
Viola pyrenaica DC.,0.5
Thymus pulegioides subsp. carniolicus (Borbás) P. A. Schmidt,0.5
Calamintha nepeta (L.) Savi,0.5
Allium lineare L.,0.5
Euphrasia cisalpina Pugsley,0.5
Schoenoplectus pungens (Vahl) Palla,0.5
Orobanche picridis F. W. Schultz,0.5
Cerastium arvense subsp. suffruticosum (L.) Ces.,0.5
Isoëtes echinospora Durieu,0.5
Ligusticum lucidum Mill.,0.5
