No ISFS,Full Name,Short Name,Family,"200 Bellis","400 Iris","600 Dryas",Indigenat,"F value","R value","N value"
432000,Tussilago farfara L.,Tussilago farfara,Asteraceae,*,*,*,I,3.5,4,3
432200,Typha latifolia L.,Typha latifolia,Typhaceae,,*,*,I,5,4,4
432800,Ulmus glabra Huds.,Ulmus glabra,Ulmaceae,*,*,*,I,3.5,3,4
433000,Ulmus minor Mill.,Ulmus minor,Ulmaceae,,,*,I,3.5,4,3
433400,Urtica dioica L.,Urtica dioica,Urticaceae,*,*,*,I,3.5,3,5
434800,Vaccinium myrtillus L.,Vaccinium myrtillus,Ericaceae,*,*,*,I,3,1,2
435100,Vaccinium uliginosum aggr.,Vaccinium uliginosum aggr.,Ericaceae,,*,*,I,x,1,2
435300,Vaccinium vitis-idaea L.,Vaccinium vitis-idaea,Ericaceae,,,*,I,2.5,1,2
435700,Valeriana montana L.,Valeriana montana,Caprifoliaceae,,,*,I,3.5,5,2
435800,Valeriana officinalis L.,Valeriana officinalis,Caprifoliaceae,*,*,*,I,4,4,3
436700,Valeriana tripteris L.,Valeriana tripteris,Caprifoliaceae,,,*,I,3,3,2
437500,Valerianella locusta (L.) Laterr.,Valerianella locusta,Caprifoliaceae,,*,*,I,3,3,3
437800,Veratrum album L.,Veratrum album,Melanthiaceae,,,*,I,3.5,3,4
439000,Verbascum lychnitis L.,Verbascum lychnitis,Scrophulariaceae,,*,*,I,2,4,4
439650,Verbascum thapsus L.,Verbascum thapsus,Scrophulariaceae,*,*,*,I,2.5,3,4
440000,Verbena officinalis L.,Verbena officinalis,Verbenaceae,,*,*,ARCH,3,3,4
440800,Veronica arvensis L.,Veronica arvensis,Plantaginaceae,,*,*,I,2.5,4,3
441000,Veronica beccabunga L.,Veronica beccabunga,Plantaginaceae,,*,*,I,4.5^,3,4
441100,Veronica bellidioides L.,Veronica bellidioides,Plantaginaceae,,,*,I,2,1,2
441400,Veronica chamaedrys L.,Veronica chamaedrys,Plantaginaceae,*,*,*,I,2.5,4,3
441600,Veronica filiformis Sm.,Veronica filiformis,Plantaginaceae,,*,*,NEO,3.5,3,4
441700,Veronica fruticans Jacq.,Veronica fruticans,Plantaginaceae,,,*,I,2,3,2
441900,Veronica hederifolia L.,Veronica hederifolia,Plantaginaceae,*,*,*,I,3,3,4
442700,Veronica persica Poir.,Veronica persica,Plantaginaceae,*,*,*,NEO,3,4,4
444100,Veronica urticifolia Jacq.,Veronica urticifolia,Plantaginaceae,,*,*,I,3.5,4,3
444300,Viburnum lantana L.,Viburnum lantana,Adoxaceae,*,*,*,I,2,4,2
444400,Viburnum opulus L.,Viburnum opulus,Adoxaceae,*,*,*,I,3.5,3,3
444995,Vicia cracca L.,Vicia cracca,Fabaceae,*,*,*,I,1.5,3,3
446995,Vicia sativa L.,Vicia sativa,Fabaceae,,*,*,ARCH/NEO,2,3,2
447400,Vicia sepium L.,Vicia sepium,Fabaceae,*,*,*,I,3,3,3
448400,Vinca minor L.,Vinca minor,Apocynaceae,,*,*,I,3,4,3
448500,Vincetoxicum hirundinaria Medik.,Vincetoxicum hirundinaria,Apocynaceae,,*,*,I,2.5,4,2
449000,Viola arvensis Murray,Viola arvensis,Violaceae,,,*,ARCH,2.5,3,3
449100,Viola biflora L.,Viola biflora,Violaceae,,*,*,I,4,3,4
449200,Viola calcarata L.,Viola calcarata,Violaceae,,,*,I,3,3,2
450300,Viola hirta L.,Viola hirta,Violaceae,,*,*,I,2.5,4,2
451600,Viola reichenbachiana Boreau,Viola reichenbachiana,Violaceae,*,*,*,I,3,3,3
452500,Viola tricolor L.,Viola tricolor,Violaceae,*,*,*,I,3,2,3
452600,Viscum album L.,Viscum album,Santalaceae,,*,*,I,-,-,-
