No ISFS,Full Name,Short Name,Family,"200 Bellis","400 Iris","600 Dryas",Indigenat,"F value","R value","N value"
131800,Dactylis glomerata L.,Dactylis glomerata,Poaceae,*,*,*,I,3,3,4
132600,Dactylorhiza maculata (L.) Soó,Dactylorhiza maculata,Orchidaceae,*,*,*,I,4,1,2
133600,Daphne mezereum L.,Daphne mezereum,Thymelaeaceae,,*,*,I,3,4,3
133700,Daphne striata Tratt.,Daphne striata,Thymelaeaceae,,,*,I,2.5,4,2
133900,Daucus carota L.,Daucus carota,Apiaceae,*,*,*,ARCH,2.5,4,2
134800,Deschampsia cespitosa (L.) P. Beauv.,Deschampsia cespitosa,Poaceae,,*,*,I,4,x,3
135500,Dianthus carthusianorum L.,Dianthus carthusianorum,Caryophyllaceae,*,*,*,I,1.5,4,2
136800,Dianthus superbus L.,Dianthus superbus,Caryophyllaceae,,*,*,I,3.5,4,2
136900,Dianthus sylvestris Wulfen,Dianthus sylvestris,Caryophyllaceae,*,*,*,I,1,3,2
137100,Digitalis grandiflora Mill.,Digitalis grandiflora,Plantaginaceae,,*,*,I,3,3,4
139200,Dipsacus fullonum L.,Dipsacus fullonum,Caprifoliaceae,,,*,I,3.5,4,4
139700,Doronicum clusii (All.) Tausch,Doronicum clusii,Asteraceae,,,*,I,3.5,2,3
140000,Doronicum grandiflorum Lam.,Doronicum grandiflorum,Asteraceae,,,*,I,3.5,4,3
140500,Draba aizoides L.,Draba aizoides,Brassicaceae,,,*,I,2,5,2
142300,Drosera rotundifolia L.,Drosera rotundifolia,Droseraceae,,*,*,I,4,1,1
142500,Dryas octopetala L.,Dryas octopetala,Rosaceae,,,*,I,2.5,5,2
143500,Dryopteris filix-mas (L.) Schott,Dryopteris filix-mas,Dryopteridaceae,*,*,*,I,3.5,3,3
144500,Echium vulgare L.,Echium vulgare,Boraginaceae,,*,*,I,2,3,3
146560,Elymus repens (L.) Gould,Elymus repens,Poaceae,,*,*,I,3,4,4
146600,Elyna myosuroides (Vill.) Fritsch,Elyna myosuroides,Cyperaceae,,,*,I,2,3,1
146900,Empetrum nigrum subsp. hermaphroditum (Hagerup) Böcher,Empetrum nigrum subsp. hermaphroditum,Ericaceae,,,*,I,3.5,1,2
147700,Epilobium angustifolium L.,Epilobium angustifolium,Onagraceae,,*,*,I,3,3,3
148600,Epilobium montanum L.,Epilobium montanum,Onagraceae,,*,*,I,3,4,4
150600,Equisetum arvense L.,Equisetum arvense,Equisetaceae,*,*,*,I,3.5,4,3
150800,Equisetum hyemale L.,Equisetum hyemale,Equisetaceae,*,*,*,I,4,4,3
151400,Equisetum sylvaticum L.,Equisetum sylvaticum,Equisetaceae,,,*,I,4,2,3
151500,Equisetum telmateia Ehrh.,Equisetum telmateia,Equisetaceae,*,*,*,I,4.5,4,3
152400,Erica carnea L.,Erica carnea,Ericaceae,,*,*,I,2,4,2
153600,Erigeron alpinus L.,Erigeron alpinus,Asteraceae,,,*,I,2,3,2
153800,Erigeron annuus (L.) Desf.,Erigeron annuus,Asteraceae,*,*,*,NEO,2.5,3,4
155000,Erigeron uniflorus L.,Erigeron uniflorus,Asteraceae,,,*,I,2.5,3,2
155200,Eriophorum angustifolium Honck.,Eriophorum angustifolium,Cyperaceae,*,*,*,I,4.5,2,2
155400,Eriophorum latifolium Hoppe,Eriophorum latifolium,Cyperaceae,*,*,*,I,4.5,4,2
155500,Eriophorum scheuchzeri Hoppe,Eriophorum scheuchzeri,Cyperaceae,,,*,I,5,2,2
155600,Eriophorum vaginatum L.,Eriophorum vaginatum,Cyperaceae,,,*,I,4.5,1,1
156000,Erodium cicutarium (L.) L'Hér.,Erodium cicutarium,Geraniaceae,,*,*,I,2,4,3
159000,Euonymus europaeus L.,Euonymus europaeus,Celastraceae,*,*,*,I,3.5,4,3
159300,Eupatorium cannabinum L.,Eupatorium cannabinum,Asteraceae,*,*,*,I,4,4,4
159400,Euphorbia amygdaloides L.,Euphorbia amygdaloides,Euphorbiaceae,,*,*,I,3,4,3
159800,Euphorbia cyparissias L.,Euphorbia cyparissias,Euphorbiaceae,*,*,*,I,2,4,2
160200,Euphorbia helioscopia L.,Euphorbia helioscopia,Euphorbiaceae,,,*,ARCH,3,4,4
162750,Euphrasia minima Schleich.,Euphrasia minima,Orobanchaceae,,,*,I,2.5,2,2
163450,Euphrasia rostkoviana Hayne,Euphrasia rostkoviana,Orobanchaceae,,,*,I,4,3,2
165000,Fagus sylvatica L.,Fagus sylvatica,Fagaceae,*,*,*,I,3,3,3
166100,Festuca arundinacea Schreb.,Festuca arundinacea,Poaceae,,,*,I,4,4,4
169100,Festuca pratensis Huds.,Festuca pratensis,Poaceae,,*,*,I,3,3,4
170100,Festuca rubra L.,Festuca rubra,Poaceae,*,*,*,I,3,3,3
171600,Festuca valesiaca Gaudin,Festuca valesiaca,Poaceae,,*,*,I,1,4,2
173100,Filipendula ulmaria (L.) Maxim.,Filipendula ulmaria,Rosaceae,,*,*,I,4,3,4
173800,Fragaria vesca L.,Fragaria vesca,Rosaceae,*,*,*,I,3,3,3
174000,Frangula alnus Mill.,Frangula alnus,Rhamnaceae,,*,*,I,3.5,3,2
174200,Fraxinus excelsior L.,Fraxinus excelsior,Oleaceae,*,*,*,I,3.5,4,3
174300,Fraxinus ornus L.,Fraxinus ornus,Oleaceae,,,*,I,2,4,2
176200,Galanthus nivalis L.,Galanthus nivalis,Amaryllidaceae,,*,*,I,3,4,3
177100,Galeopsis tetrahit L.,Galeopsis tetrahit,Lamiaceae,,*,*,I,3,3,5
177500,Galium anisophyllon Vill.,Galium anisophyllon,Rubiaceae,,,*,I,2.5,3,2
177600,Galium aparine L.,Galium aparine,Rubiaceae,*,*,*,I,3,3,5
179000,Galium mollugo aggr.,Galium mollugo aggr.,Rubiaceae,*,*,*,I,3.5,3,4
179300,Galium odoratum (L.) Scop.,Galium odoratum,Rubiaceae,*,*,*,I,3,3,3
180900,Galium verum L.,Galium verum,Rubiaceae,,*,*,I,2.5,4,2
182200,Gentiana acaulis L.,Gentiana acaulis,Gentianaceae,*,*,*,I,2.5,2,2
183100,Gentiana campestris L.,Gentiana campestris,Gentianaceae,,,*,I,3,3,2
183500,Gentiana clusii E. P. Perrier & Songeon,Gentiana clusii,Gentianaceae,,*,*,I,2.5,5,2
183800,Gentiana germanica Willd.,Gentiana germanica,Gentianaceae,,,*,I,2.5,4,2
184100,Gentiana lutea L.,Gentiana lutea,Gentianaceae,,,*,I,3,4,3
184800,Gentiana punctata L.,Gentiana punctata,Gentianaceae,,,*,I,3,1,2
184900,Gentiana purpurea L.,Gentiana purpurea,Gentianaceae,,,*,I,3,2,2
185400,Gentiana verna L.,Gentiana verna,Gentianaceae,,,*,I,3,4,2
188600,Geranium pyrenaicum Burm. f.,Geranium pyrenaicum,Geraniaceae,*,*,*,I,3,3,3
188795,Geranium robertianum L.,Geranium robertianum,Geraniaceae,*,*,*,I,3,3,4
189000,Geranium rotundifolium L.,Geranium rotundifolium,Geraniaceae,,,*,ARCH,2,4,3
189100,Geranium sanguineum L.,Geranium sanguineum,Geraniaceae,,*,*,I,2,4,2
189300,Geranium sylvaticum L.,Geranium sylvaticum,Geraniaceae,*,*,*,I,3.5,3,4
189400,Geum montanum L.,Geum montanum,Rosaceae,,,*,I,3,2,2
189600,Geum rivale L.,Geum rivale,Rosaceae,*,*,*,I,4,3,4
189700,Geum urbanum L.,Geum urbanum,Rosaceae,*,*,*,I,3.5,3,4
190500,Glechoma hederacea L.,Glechoma hederacea,Lamiaceae,*,*,*,I,3.5,4,3
191000,Globularia cordifolia L.,Globularia cordifolia,Plantaginaceae,,*,*,I,2,5,2
191200,Globularia nudicaulis L.,Globularia nudicaulis,Plantaginaceae,,,*,I,2.5,4,2
192500,Gnaphalium supinum L.,Gnaphalium supinum,Asteraceae,,,*,I,4,2,2
192600,Gnaphalium sylvaticum L.,Gnaphalium sylvaticum,Asteraceae,,,*,I,2.5,2,2
193200,Gymnadenia conopsea (L.) R. Br.,Gymnadenia conopsea,Orchidaceae,,*,*,I,3,4,2
193800,Gypsophila repens L.,Gypsophila repens,Caryophyllaceae,,*,*,I,3.5,5,2
194000,Hedera helix L.,Hedera helix,Araliaceae,*,*,*,I,3,3,3
194100,Hedysarum hedysaroides (L.) Schinz & Thell.,Hedysarum hedysaroides,Fabaceae,,,*,I,3,4,3
194300,Helianthemum alpestre (Jacq.) DC.,Helianthemum alpestre,Cistaceae,,,*,I,2,5,2
194895,Helianthemum nummularium (L.) Mill.,Helianthemum nummularium,Cistaceae,,*,*,I,x,x,2
196800,Helictotrichon pubescens (Huds.) Pilg.,Helictotrichon pubescens,Poaceae,,*,*,I,2.5,4,3
197300,Helleborus foetidus L.,Helleborus foetidus,Ranunculaceae,,*,*,I,2,4,3
198595,Heracleum sphondylium L.,Heracleum sphondylium,Apiaceae,*,*,*,I,3,4,4
199300,Herniaria glabra L.,Herniaria glabra,Caryophyllaceae,,,*,I,1.5,3,3
202700,Hieracium murorum aggr.,Hieracium murorum aggr.,Asteraceae,*,*,*,I,2,3,3
203400,Hieracium pilosella L.,Hieracium pilosella,Asteraceae,*,*,*,I,2,3,2
205800,Hieracium villosum Jacq.,Hieracium villosum,Asteraceae,,,*,I,3,5,2
206300,Hippocrepis comosa L.,Hippocrepis comosa,Fabaceae,*,*,*,I,2,5,2
206500,Hippophaë rhamnoides L.,Hippophaë rhamnoides,Elaeagnaceae,,*,*,I,2.5,4,3
206800,Holcus lanatus L.,Holcus lanatus,Poaceae,*,*,*,I,3,3,3
207300,Homogyne alpina (L.) Cass.,Homogyne alpina,Asteraceae,,,*,I,3.5,2,2
207795,Hordeum murinum L.,Hordeum murinum,Poaceae,,*,*,ARCH,2,3,4
208800,Humulus lupulus L.,Humulus lupulus,Cannabaceae,,*,*,I,4,3,4
208900,Huperzia selago (L.) Schrank & Mart.,Huperzia selago,Lycopodiaceae,,,*,I,3,2,1
211050,Hypericum perforatum L.,Hypericum perforatum,Hypericaceae,*,*,*,I,3,3,3
213300,Ilex aquifolium L.,Ilex aquifolium,Aquifoliaceae,,*,*,I,2.5,3,3
213600,Impatiens glandulifera Royle,Impatiens glandulifera,Balsaminaceae,,*,*,NEO,3.5,4,4
213700,Impatiens noli-tangere L.,Impatiens noli-tangere,Balsaminaceae,,*,*,I,4,4,4
213800,Impatiens parviflora DC.,Impatiens parviflora,Balsaminaceae,,*,*,NEO,3,3,4
215500,Iris pseudacorus L.,Iris pseudacorus,Iridaceae,,*,*,I,4.5,3,4
215600,Iris sibirica L.,Iris sibirica,Iridaceae,,*,*,I,4,4,2
217500,Juglans regia L.,Juglans regia,Juglandaceae,,*,*,ARCH,2.5,4,4
217700,Juncus alpinoarticulatus Chaix,Juncus alpinoarticulatus,Juncaceae,,*,*,I,4.5,4,2
218800,Juncus effusus L.,Juncus effusus,Juncaceae,*,*,*,I,4,2,4
219100,Juncus inflexus L.,Juncus inflexus,Juncaceae,*,*,*,I,4,4,4
220100,Juncus trifidus L.,Juncus trifidus,Juncaceae,,,*,I,2,1,2
220400,Juniperus communis L. subsp. communis,Juniperus communis subsp. communis,Cupressaceae,*,*,*,I,2,3,2
220500,Juniperus communis subsp. alpina Čelak.,Juniperus communis subsp. alpina,Cupressaceae,,,*,I,2,3,2
220800,Juniperus sabina L.,Juniperus sabina,Cupressaceae,,*,*,I,1.5,3,2
221000,Kernera saxatilis (L.) Sweet,Kernera saxatilis,Brassicaceae,,,*,I,1.5,5,2
221400,Knautia arvensis (L.) Coult.,Knautia arvensis,Caprifoliaceae,*,*,*,I,2.5,3,3
221450,Knautia dipsacifolia Kreutzer,Knautia dipsacifolia,Caprifoliaceae,,,*,I,3.5,3,3
224300,Laburnum anagyroides Medik.,Laburnum anagyroides,Fabaceae,,*,*,I,2.5,4,3
225500,Lamium album L.,Lamium album,Lamiaceae,,*,*,I,3,3,5
225750,Lamium galeobdolon (L.) L.,Lamium galeobdolon,Lamiaceae,*,*,*,I/NEO,3,4,3
226200,Lamium maculatum (L.) L.,Lamium maculatum,Lamiaceae,*,*,*,I,3.5,3,5
226500,Lamium purpureum L.,Lamium purpureum,Lamiaceae,*,*,*,ARCH,3,4,4
226900,Lapsana communis L.,Lapsana communis,Asteraceae,*,*,*,I,3.5,3,4
227200,Larix decidua Mill.,Larix decidua,Pinaceae,*,*,*,I,3,2,2
227700,Laserpitium latifolium L.,Laserpitium latifolium,Apiaceae,,*,*,I,2.5,4,3
228100,Laserpitium siler L.,Laserpitium siler,Apiaceae,,*,*,I,2,4,2
230400,Lathyrus pratensis L.,Lathyrus pratensis,Fabaceae,*,*,*,I,3.5,3,3
231195,Lathyrus vernus (L.) Bernh.,Lathyrus vernus,Fabaceae,,*,*,I,2.5,4,2
232300,Lemna minor L.,Lemna minor,Araceae,,,*,I,5v,3,3
232900,Leontodon helveticus Mérat,Leontodon helveticus,Asteraceae,,,*,I,3,2,2
233000,Leontodon hispidus L.,Leontodon hispidus,Asteraceae,*,*,*,I,2.5,4,3
234600,Leontopodium alpinum Cass.,Leontopodium alpinum,Asteraceae,,,*,I,2,4,2
236000,Leucanthemopsis alpina (L.) Heywood,Leucanthemopsis alpina,Asteraceae,,,*,I,3,2,2
236200,Leucanthemum adustum (W. D. J. Koch) Gremli,Leucanthemum adustum,Asteraceae,,,*,I,3,4,2
236800,Leucanthemum vulgare Lam.,Leucanthemum vulgare,Asteraceae,*,*,*,I,3,3,3
237100,Leucojum vernum L.,Leucojum vernum,Amaryllidaceae,,*,*,I,3.5,3,4
237800,Ligusticum mutellina (L.) Crantz,Ligusticum mutellina,Apiaceae,,,*,I,3.5,2,3
238100,Ligustrum vulgare L.,Ligustrum vulgare,Oleaceae,*,*,*,I,2.5,4,3
238500,Lilium martagon L.,Lilium martagon,Liliaceae,*,*,*,I,3,4,3
238800,Linaria alpina (L.) Mill.,Linaria alpina,Plantaginaceae,,,*,I,3.5,4,2
240300,Linaria vulgaris Mill.,Linaria vulgaris,Plantaginaceae,*,*,*,I,2,3,4
241100,Linum catharticum L.,Linum catharticum,Linaceae,,*,*,I,2.5,4,2
242000,Listera ovata (L.) R. Br.,Listera ovata,Orchidaceae,*,*,*,I,3.5,3,3
242500,Lloydia serotina (L.) Rchb.,Lloydia serotina,Liliaceae,,,*,I,2.5,2,1
242600,Loiseleuria procumbens (L.) Desv.,Loiseleuria procumbens,Ericaceae,,,*,I,2,2,1
242700,Lolium multiflorum Lam.,Lolium multiflorum,Poaceae,*,*,*,NEO,3.5,3,4
242800,Lolium perenne L.,Lolium perenne,Poaceae,*,*,*,I,3,3,4
243400,Lonicera alpigena L.,Lonicera alpigena,Caprifoliaceae,,*,*,I,3,4,3
243500,Lonicera caerulea L.,Lonicera caerulea,Caprifoliaceae,,*,*,I,3,2,2
243900,Lonicera nigra L.,Lonicera nigra,Caprifoliaceae,,*,*,I,3,3,3
244200,Lonicera xylosteum L.,Lonicera xylosteum,Caprifoliaceae,*,*,*,I,3,4,3
244400,Lotus corniculatus L.,Lotus corniculatus,Fabaceae,*,*,*,I,2.5,3,3
245400,Lunaria annua L.,Lunaria annua,Brassicaceae,,*,*,NEO,3,3,4
246100,Luzula campestris (L.) DC.,Luzula campestris,Juncaceae,,*,*,I,2.5,2,2
246600,Luzula lutea (All.) DC.,Luzula lutea,Juncaceae,,,*,I,2,2,2
247500,Luzula pilosa (L.) Willd.,Luzula pilosa,Juncaceae,,*,*,I,3,2,2
248300,Luzula sylvatica (Huds.) Gaudin,Luzula sylvatica,Juncaceae,*,*,*,I,3.5,2,2
249700,Lycopodium annotinum L.,Lycopodium annotinum,Lycopodiaceae,,*,*,I,3,1,1
251400,Lysimachia nemorum L.,Lysimachia nemorum,Primulaceae,,*,*,I,3.5,2,3
252400,Maianthemum bifolium (L.) F. W. Schmidt,Maianthemum bifolium,Asparagaceae,,*,*,I,3,2,2
252900,Malus sylvestris (L.) Mill.,Malus sylvestris,Rosaceae,,,*,I,3,4,3
253400,Malva neglecta Wallr.,Malva neglecta,Malvaceae,,*,*,ARCH,2.5,3,5
253500,Malva sylvestris L.,Malva sylvestris,Malvaceae,,,*,I,2.5,4,4
254000,Matricaria chamomilla L.,Matricaria chamomilla,Asteraceae,,*,*,I,3,4,4
254100,Matricaria discoidea DC.,Matricaria discoidea,Asteraceae,,*,*,NEO,3,4,4
255100,Medicago falcata L.,Medicago falcata,Fabaceae,,,*,I,1.5,4,2
255300,Medicago lupulina L.,Medicago lupulina,Fabaceae,*,*,*,ARCH,2,4,3
256000,Medicago sativa L.,Medicago sativa,Fabaceae,*,*,*,ARCH,2,4,3
256500,Melampyrum pratense L.,Melampyrum pratense,Orobanchaceae,,*,*,I,2,2,2
256600,Melampyrum sylvaticum L.,Melampyrum sylvaticum,Orobanchaceae,,*,*,I,3.5,1,2
256900,Melica nutans L.,Melica nutans,Poaceae,*,*,*,I,2.5,4,3
257200,Melilotus albus Medik.,Melilotus albus,Fabaceae,,*,*,ARCH,2.5,4,3
257600,Melilotus officinalis Lam.,Melilotus officinalis,Fabaceae,,*,*,ARCH,3,4,3
257900,Melittis melissophyllum L.,Melittis melissophyllum,Lamiaceae,,*,*,I,2.5,4,2
258900,Mercurialis annua L.,Mercurialis annua,Euphorbiaceae,,,*,ARCH,2.5,4,4
259100,Mercurialis perennis L.,Mercurialis perennis,Euphorbiaceae,*,*,*,I,3.5,4,3
259800,Milium effusum L.,Milium effusum,Poaceae,,*,*,I,3,2,3
261700,Minuartia sedoides (L.) Hiern,Minuartia sedoides,Caryophyllaceae,,,*,I,2.5,3,1
262000,Minuartia verna (L.) Hiern,Minuartia verna,Caryophyllaceae,,,*,I,2,4,1
263400,Molinia caerulea (L.) Moench,Molinia caerulea,Poaceae,,*,*,I,4,3,2
265800,Myosotis alpestris F. W. Schmidt,Myosotis alpestris,Boraginaceae,,,*,I,3,4,3
265900,Myosotis arvensis Hill,Myosotis arvensis,Boraginaceae,,*,*,I,2,3,3
268850,Narcissus poëticus aggr.,Narcissus poëticus aggr.,Amaryllidaceae,,,*,ARCH,3,3,4
268900,Narcissus pseudonarcissus L.,Narcissus pseudonarcissus,Amaryllidaceae,,,*,I,3,3,2
269700,Nardus stricta L.,Nardus stricta,Poaceae,,*,*,I,3,2,2
270100,Neottia nidus-avis (L.) Rich.,Neottia nidus-avis,Orchidaceae,,*,*,I,3,4,3
271700,Nigritella rhellicani aggr.,Nigritella rhellicani aggr.,Orchidaceae,,,*,I,2.5,3,2
272300,Nuphar lutea (L.) Sm.,Nuphar lutea,Nymphaeaceae,*,*,*,I,5v,4,3
272500,Nymphaea alba L.,Nymphaea alba,Nymphaeaceae,,*,*,I,5v,3,3
274102,Oenothera biennis aggr.,Oenothera biennis aggr.,Onagraceae,,*,*,NEO,2,x,3
275400,Onobrychis montana DC.,Onobrychis montana,Fabaceae,,,*,I,2,5,3
275600,Onobrychis viciifolia Scop.,Onobrychis viciifolia,Fabaceae,*,*,*,NEO,2,4,2
279100,Ophrys insectifera L.,Ophrys insectifera,Orchidaceae,,*,*,I,2.5,5,1
280900,Orchis mascula (L.) L.,Orchis mascula,Orchidaceae,,*,*,I,3,4,3
282200,Orchis ustulata L.,Orchis ustulata,Orchidaceae,,,*,I,3,3,2
282600,Origanum vulgare L.,Origanum vulgare,Lamiaceae,*,*,*,I,2,4,3
284000,Orobanche alba Willd.,Orobanche alba,Orobanchaceae,,*,*,I,2,4,2
287100,Ostrya carpinifolia Scop.,Ostrya carpinifolia,Betulaceae,,,*,I,2,4,3
287300,Oxalis acetosella L.,Oxalis acetosella,Oxalidaceae,*,*,*,I,3,2,2
288100,Oxyria digyna (L.) Hill,Oxyria digyna,Polygonaceae,,,*,I,3.5,4,2
288200,Oxytropis campestris (L.) DC.,Oxytropis campestris,Fabaceae,,,*,I,2,4,2
289300,Oxytropis jacquinii Bunge,Oxytropis jacquinii,Fabaceae,,,*,I,2,5,2
291800,Papaver rhoeas L.,Papaver rhoeas,Papaveraceae,*,*,*,ARCH,2,4,3
292600,Paris quadrifolia L.,Paris quadrifolia,Melanthiaceae,*,*,*,I,3.5,4,3
292700,Parnassia palustris L.,Parnassia palustris,Celastraceae,,*,*,I,4,4,2
294200,Pedicularis foliosa L.,Pedicularis foliosa,Orobanchaceae,,,*,I,4,4,4
295400,Pedicularis tuberosa L.,Pedicularis tuberosa,Orobanchaceae,,,*,I,2.5,2,2
295500,Pedicularis verticillata L.,Pedicularis verticillata,Orobanchaceae,,*,*,I,3.5,4,2
295700,Petasites albus (L.) Gaertn.,Petasites albus,Asteraceae,,*,*,I,4,3,4
295900,Petasites hybridus (L.) G. Gaertn. & al.,Petasites hybridus,Asteraceae,,*,*,I,4,4,4
297200,Peucedanum ostruthium (L.) W. D. J. Koch,Peucedanum ostruthium,Apiaceae,,*,*,I,3,3,4
298900,Phleum alpinum aggr.,Phleum alpinum aggr.,Poaceae,,,*,I,4,2,2
300005,Phleum pratense aggr.,Phleum pratense aggr.,Poaceae,*,*,*,I,3,3,4
300300,Phragmites australis (Cav.) Steud.,Phragmites australis,Poaceae,*,*,*,I,4.5,3,4
300500,Phyllitis scolopendrium (L.) Newman,Phyllitis scolopendrium,Aspleniaceae,,,*,I,3.5,4,3
300800,Phyteuma betonicifolium Vill.,Phyteuma betonicifolium,Campanulaceae,,*,*,I,3,2,2
301400,Phyteuma hemisphaericum L.,Phyteuma hemisphaericum,Campanulaceae,,,*,I,2.5,1,2
301800,Phyteuma orbiculare L.,Phyteuma orbiculare,Campanulaceae,,,*,I,3,4,2
302400,Phyteuma spicatum L.,Phyteuma spicatum,Campanulaceae,*,*,*,I,3,3,3
302800,Picea abies (L.) H. Karst.,Picea abies,Pinaceae,*,*,*,I,3,x,3
304300,Pinguicula alpina L.,Pinguicula alpina,Lentibulariaceae,,,*,I,4,4,2
304800,Pinguicula vulgaris L.,Pinguicula vulgaris,Lentibulariaceae,,*,*,I,4,4,2
304900,Pinus cembra L.,Pinus cembra,Pinaceae,,,*,I,3,2,2
305800,Pinus mugo subsp. uncinata (DC.) Domin,Pinus mugo subsp. uncinata,Pinaceae,,,*,I,2.5,3,2
305500,Pinus mugo Turra subsp. mugo,Pinus mugo subsp. mugo,Pinaceae,,,*,I,2.5,x,2
306100,Pinus sylvestris L.,Pinus sylvestris,Pinaceae,*,*,*,I,x,x,2
307000,Plantago alpina L.,Plantago alpina,Plantaginaceae,,,*,I,3,2,2
307250,Plantago atrata Hoppe,Plantago atrata,Plantaginaceae,,,*,I,3.5,4,3
307800,Plantago lanceolata L.,Plantago lanceolata,Plantaginaceae,*,*,*,I,2.5,3,3
307850,Plantago major L.,Plantago major,Plantaginaceae,*,*,*,I,3,3,4
308100,Plantago media L.,Plantago media,Plantaginaceae,*,*,*,I,2,4,3
309000,Poa alpina L.,Poa alpina,Poaceae,,,*,I,3.5,3,4
309200,Poa annua L.,Poa annua,Poaceae,*,*,*,I,3,3,4
309500,Poa bulbosa L.,Poa bulbosa,Poaceae,,*,*,I,1.5,3,3
310800,Poa pratensis L.,Poa pratensis,Poaceae,*,*,*,I,3.5,3,4
311295,Poa trivialis L.,Poa trivialis,Poaceae,*,*,*,I,3.5,4,4
312700,Polygala chamaebuxus L.,Polygala chamaebuxus,Polygalaceae,,*,*,I,2,4,2
313195,Polygala vulgaris L.,Polygala vulgaris,Polygalaceae,,*,*,I,2,2,2
313400,Polygonatum multiflorum (L.) All.,Polygonatum multiflorum,Asparagaceae,*,*,*,I,3,4,3
313500,Polygonatum odoratum (Mill.) Druce,Polygonatum odoratum,Asparagaceae,*,*,*,I,2,4,3
313700,Polygonatum verticillatum (L.) All.,Polygonatum verticillatum,Asparagaceae,,,*,I,3.5,3,3
314300,Polygonum aviculare aggr.,Polygonum aviculare aggr.,Polygonaceae,,*,*,I,3.5,3,4
314400,Polygonum bistorta L.,Polygonum bistorta,Polygonaceae,,*,*,I,4,3,4
315600,Polygonum persicaria L.,Polygonum persicaria,Polygonaceae,,*,*,I,3,3,4
315800,Polygonum viviparum L.,Polygonum viviparum,Polygonaceae,,,*,I,3,3,2
316400,Polypodium vulgare L.,Polypodium vulgare,Polypodiaceae,,,*,I,2.5,2,2
317100,Populus alba L.,Populus alba,Salicaceae,,*,*,I,3.5,4,4
317250,Populus nigra L.,Populus nigra,Salicaceae,,,*,I/NEO,4,4,4
317500,Populus tremula L.,Populus tremula,Salicaceae,*,*,*,I,3,3,3
320900,Potentilla anserina L.,Potentilla anserina,Rosaceae,*,*,*,I,3,3,4
321300,Potentilla aurea L.,Potentilla aurea,Rosaceae,,,*,I,2.5,2,2
322100,Potentilla crantzii (Crantz) Fritsch,Potentilla crantzii,Rosaceae,,,*,I,2.5,4,2
322400,Potentilla erecta (L.) Raeusch.,Potentilla erecta,Rosaceae,*,*,*,I,3,2,2
324500,Potentilla reptans L.,Potentilla reptans,Rosaceae,*,*,*,I,3,4,4
324700,Potentilla sterilis (L.) Garcke,Potentilla sterilis,Rosaceae,,*,*,I,3,3,3
325200,Prenanthes purpurea L.,Prenanthes purpurea,Asteraceae,*,*,*,I,3,3,3
325700,Primula auricula L.,Primula auricula,Primulaceae,,,*,I,3.5,5,2
325950,Primula elatior (L.) L.,Primula elatior,Primulaceae,*,*,*,I,3.5,4,3
326200,Primula farinosa L.,Primula farinosa,Primulaceae,,*,*,I,3.5,4,1
326605,Primula hirsuta All.,Primula hirsuta,Primulaceae,,,*,I,3,2,2
327195,Primula veris L.,Primula veris,Primulaceae,*,*,*,I,2.5,4,2
327650,Pritzelago alpina (L.) Kuntze,Pritzelago alpina,Brassicaceae,,,*,I,3.5,4,2
328100,Prunella vulgaris L.,Prunella vulgaris,Lamiaceae,*,*,*,I,3.5,3,3
328400,Prunus avium L.,Prunus avium,Rosaceae,*,*,*,I,3.5,3,3
329500,Prunus mahaleb L.,Prunus mahaleb,Rosaceae,,*,*,I,1.5,4,2
329600,Prunus padus L.,Prunus padus,Rosaceae,,*,*,I,3.5,3,3
330300,Prunus spinosa L.,Prunus spinosa,Rosaceae,*,*,*,I,2.5,3,3
330800,Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum,Dennstaedtiaceae,*,*,*,I,3,2,2
332800,Pulmonaria obscura Dumort.,Pulmonaria obscura,Boraginaceae,,*,*,I,3.5,4,3
333200,Pulsatilla alpina (L.) Delarbre subsp. alpina,Pulsatilla alpina subsp. alpina,Ranunculaceae,,,*,I,3,4,3
333390,Pulsatilla alpina subsp. apiifolia (Scop.) Nyman,Pulsatilla alpina subsp. apiifolia,Ranunculaceae,,,*,I,3,2,3
334100,Pulsatilla vernalis (L.) Mill.,Pulsatilla vernalis,Ranunculaceae,,,*,I,2.5,2,2
335300,Pyrus pyraster Burgsd.,Pyrus pyraster,Rosaceae,,,*,I,2,4,3
335900,Quercus petraea Liebl.,Quercus petraea,Fagaceae,*,*,*,I,2,3,2
336000,Quercus pubescens Willd.,Quercus pubescens,Fagaceae,,*,*,I,2.5,3,2
336100,Quercus robur L.,Quercus robur,Fagaceae,*,*,*,I,3.5,3,3
336500,Ranunculus aconitifolius L.,Ranunculus aconitifolius,Ranunculaceae,,*,*,I,4,3,4
336595,Ranunculus acris L.,Ranunculus acris,Ranunculaceae,*,*,*,I,3,3,3
336800,Ranunculus alpestris L.,Ranunculus alpestris,Ranunculaceae,,,*,I,3.5,4,2
337700,Ranunculus bulbosus L.,Ranunculus bulbosus,Ranunculaceae,*,*,*,I,2,4,2
338200,Ranunculus ficaria L.,Ranunculus ficaria,Ranunculaceae,*,*,*,I,3.5,4,4
338700,Ranunculus glacialis L.,Ranunculus glacialis,Ranunculaceae,,,*,I,3.5,2,2
339200,Ranunculus kuepferi Greuter & Burdet,Ranunculus kuepferi,Ranunculaceae,,,*,I,3,2,3
