"Species","Family","Municipality","Canton","Last year","Map"
"Halictus rubicundus  (Christ, 1791)","Halictinae","Biel/Bienne","BE","1993","Show (ancien)"
"Halictus simplex  Blüthgen, 1923","Halictinae","Biel/Bienne","BE","1993","Show (ancien)"
"Halictus simplex aggr.","Halictinae","Biel/Bienne","BE","1986","Show (ancien)"
"Halictus subauratus  (Rossi, 1792)","Halictinae","Biel/Bienne","BE","2016","Show (ancien)"
"Halictus tumulorum  (Linnaeus, 1758)","Halictinae","Biel/Bienne","BE","2016","Show (ancien)"
"Hoplitis adunca  (Panzer, 1798)","Megachilinae","Biel/Bienne","BE","2016","Show (ancien)"
"Hoplitis anthocopoides  (Schenck, 1853)","Megachilinae","Biel/Bienne","BE","1899","Show (ancien)"
"Hoplitis claviventris  (Thomson, 1872)","Megachilinae","Biel/Bienne","BE","1899","Show (ancien)"
"Hoplitis leucomelana  (Kirby, 1802)","Megachilinae","Biel/Bienne","BE","1887","Show (ancien)"
"Hoplitis loti  (Morawitz, 1867)","Megachilinae","Biel/Bienne","BE","1885","Show (ancien)"
"Hoplitis ravouxi  (Pérez, 1902)","Megachilinae","Biel/Bienne","BE","1993","Show (ancien)"
"Hylaeus angustatus  (Schenck, 1861)","Colletinae","Biel/Bienne","BE","1905","Show (ancien)"
"Hylaeus communis  Nylander, 1852","Colletinae","Biel/Bienne","BE","1899","Show (ancien)"
"Hylaeus confusus  Nylander, 1852","Colletinae","Biel/Bienne","BE","1901","Show (ancien)"
"Hylaeus gibbus  Saunders, 1850","Colletinae","Biel/Bienne","BE","1901","Show (ancien)"
"Hylaeus gredleri  Förster, 1871","Colletinae","Biel/Bienne","BE","1904","Show (ancien)"
"Hylaeus hyalinatus  Smith, 1842","Colletinae","Biel/Bienne","BE","1905","Show (ancien)"
"Hylaeus kahri  Förster, 1871","Colletinae","Biel/Bienne","BE","1901","Show (ancien)"
"Hylaeus punctatus  (Brullé, 1832)","Colletinae","Biel/Bienne","BE","1901","Show (ancien)"
"Hylaeus punctulatissimus  Smith, 1842","Colletinae","Biel/Bienne","BE","1885","Show (ancien)"
"Hylaeus signatus  (Panzer, 1798)","Colletinae","Biel/Bienne","BE","1899","Show (ancien)"
"Lasioglossum albipes  (Fabricius, 1781)","Halictinae","Biel/Bienne","BE","1916","Show (ancien)"
"Lasioglossum calceatum  (Scopoli, 1763)","Halictinae","Biel/Bienne","BE","2001","Show (ancien)"
"Lasioglossum fulvicorne  (Kirby, 1802)","Halictinae","Biel/Bienne","BE","1993","Show (ancien)"
"Lasioglossum interruptum  (Panzer, 1798)","Halictinae","Biel/Bienne","BE","1993","Show (ancien)"
"Lasioglossum laticeps  (Schenck, 1868)","Halictinae","Biel/Bienne","BE","2016","Show (ancien)"
"Lasioglossum leucozonium  (Schrank, 1781)","Halictinae","Biel/Bienne","BE","1993","Show (ancien)"
"Lasioglossum lineare  (Schenck, 1868)","Halictinae","Biel/Bienne","BE","1885","Show (ancien)"
"Lasioglossum lissonotum  (Noskiewicz, 1926)","Halictinae","Biel/Bienne","BE","1905","Show (ancien)"
"Lasioglossum malachurum  (Kirby, 1802)","Halictinae","Biel/Bienne","BE","1993","Show (ancien)"
"Lasioglossum morio  (Fabricius, 1793)","Halictinae","Biel/Bienne","BE","1993","Show (ancien)"
"Lasioglossum nigripes  (Lepeletier, 1841)","Halictinae","Biel/Bienne","BE","1887","Show (ancien)"
"Lasioglossum nitidiusculum  (Kirby, 1802)","Halictinae","Biel/Bienne","BE","1901","Show (ancien)"
"Lasioglossum nitidulum  (Fabricius, 1804)","Halictinae","Biel/Bienne","BE","1993","Show (ancien)"
"Lasioglossum parvulum  (Schenck, 1853)","Halictinae","Biel/Bienne","BE","1901","Show (ancien)"
"Lasioglossum pauxillum  (Schenck, 1853)","Halictinae","Biel/Bienne","BE","1993","Show (ancien)"
"Lasioglossum politum  (Schenck, 1853)","Halictinae","Biel/Bienne","BE","1993","Show (ancien)"
"Lasioglossum sexnotatum  (Kirby, 1802)","Halictinae","Biel/Bienne","BE","1889","Show (ancien)"
"Lasioglossum subfasciatum  (Imhoff, 1832)","Halictinae","Biel/Bienne","BE","1886","Show (ancien)"
"Lasioglossum xanthopus  (Kirby, 1802)","Halictinae","Biel/Bienne","BE","1908","Show (ancien)"
"Megachile centuncularis  (Linnaeus, 1758)","Megachilinae","Biel/Bienne","BE","1899","Show (ancien)"
"Megachile circumcincta  (Kirby, 1802)","Megachilinae","Biel/Bienne","BE","1997","Show (ancien)"
"Megachile ericetorum  Lepeletier, 1841","Megachilinae","Biel/Bienne","BE","1993","Show (ancien)"
"Megachile nigriventris  Schenck, 1870","Megachilinae","Biel/Bienne","BE","1918","Show (ancien)"
"Megachile parietina  (Geoffroy in Fourcroy, 1785)","Megachilinae","Biel/Bienne","BE","1891","Show (ancien)"
"Megachile pyrenaea  Pérez, 1890","Megachilinae","Biel/Bienne","BE","0","Show (ancien)"
"Megachile pyrenaica  Lepeletier, 1841","Megachilinae","Biel/Bienne","BE","1897","Show (ancien)"
"Megachile versicolor  Smith, 1844","Megachilinae","Biel/Bienne","BE","1993","Show (ancien)"
"Megachile willughbiella  (Kirby, 1802)","Megachilinae","Biel/Bienne","BE","1893","Show (ancien)"
"Melecta albifrons  (Förster, 1771)","Anthophorinae","Biel/Bienne","BE","1918","Show (ancien)"
"Melecta luctuosa  (Scopoli, 1770)","Anthophorinae","Biel/Bienne","BE","1888","Show (ancien)"
"Nomada atroscutellaris  Strand, 1921","Anthophorinae","Biel/Bienne","BE","1993","Show (ancien)"
"Nomada bifasciata  A. G. Olivier, 1811","Anthophorinae","Biel/Bienne","BE","2020","Show (ancien)"
"Nomada conjungens  Herrich-Schäffer, 1839","Anthophorinae","Biel/Bienne","BE","2016","Show (ancien)"
"Nomada fabriciana  (Linnaeus, 1767)","Anthophorinae","Biel/Bienne","BE","1933","Show (ancien)"
"Nomada facilis  Schwarz, 1967","Anthophorinae","Biel/Bienne","BE","1933","Show (ancien)"
"Nomada femoralis  Morawitz, 1869","Anthophorinae","Biel/Bienne","BE","1918","Show (ancien)"
"Nomada flava  Panzer, 1798","Anthophorinae","Biel/Bienne","BE","2016","Show (ancien)"
"Nomada flavoguttata  (Kirby, 1802)","Anthophorinae","Biel/Bienne","BE","1993","Show (ancien)"
"Nomada fulvicornis  Fabricius, 1793","Anthophorinae","Biel/Bienne","BE","1993","Show (ancien)"
"Nomada fuscicornis  Nylander, 1848","Anthophorinae","Biel/Bienne","BE","1888","Show (ancien)"
"Nomada goodeniana  (Kirby, 1802)","Anthophorinae","Biel/Bienne","BE","1922","Show (ancien)"
"Nomada integra  Brullé, 1832","Anthophorinae","Biel/Bienne","BE","1921","Show (ancien)"
"Nomada lathburiana  (Kirby, 1802)","Anthophorinae","Biel/Bienne","BE","1892","Show (ancien)"
"Nomada marshamella  (Kirby, 1802)","Anthophorinae","Biel/Bienne","BE","2016","Show (ancien)"
"Nomada melathoracica  Imhoff, 1834","Anthophorinae","Biel/Bienne","BE","1895","Show (ancien)"
"Nomada panzeri  Lepeletier, 1841","Anthophorinae","Biel/Bienne","BE","1993","Show (ancien)"
"Nomada panzeri panzeri Lepeletier, 1841","Anthophorinae","Biel/Bienne","BE","1927","Show (ancien)"
"Nomada rhenana  Morawitz, 1872","Anthophorinae","Biel/Bienne","BE","1887","Show (ancien)"
"Nomada ruficornis  (Linnaeus, 1758)","Anthophorinae","Biel/Bienne","BE","1922","Show (ancien)"
"Nomada sexfasciata  Panzer, 1799","Anthophorinae","Biel/Bienne","BE","2016","Show (ancien)"
"Nomada signata  Jurine, 1807","Anthophorinae","Biel/Bienne","BE","1993","Show (ancien)"
"Nomada striata  Fabricius, 1793","Anthophorinae","Biel/Bienne","BE","1889","Show (ancien)"
"Nomada succincta  Panzer, 1798","Anthophorinae","Biel/Bienne","BE","1915","Show (ancien)"
"Nomada villosa  Thomson, 1870","Anthophorinae","Biel/Bienne","BE","1889","Show (ancien)"
"Osmia andrenoides  Spinola, 1808","Megachilinae","Biel/Bienne","BE","1899","Show (ancien)"
"Osmia aurulenta  (Panzer, 1799)","Megachilinae","Biel/Bienne","BE","2016","Show (ancien)"
"Osmia bicolor  (Schrank, 1781)","Megachilinae","Biel/Bienne","BE","1993","Show (ancien)"
"Osmia bicornis  (Linnaeus, 1758)","Megachilinae","Biel/Bienne","BE","1993","Show (ancien)"
