acceptedtaxonkey,acceptedscientificname,numberofoccurrences,kingdom,phylum,class,order,family,genus,species
7737682,epilobium nutans f.w.schmidt,237,plantae,tracheophyta,magnoliopsida,myrtales,onagraceae,epilobium,epilobium nutans
5275365,struthiopteris spicant weis,2323,plantae,tracheophyta,polypodiopsida,polypodiales,blechnaceae,struthiopteris,struthiopteris spicant
2888439,papaver somniferum l.,314,plantae,tracheophyta,magnoliopsida,ranunculales,papaveraceae,papaver,papaver somniferum
3171145,misopates orontium raf.,553,plantae,tracheophyta,magnoliopsida,lamiales,plantaginaceae,misopates,misopates orontium
4095539,valerianella rimosa bast.,239,plantae,tracheophyta,magnoliopsida,dipsacales,caprifoliaceae,valerianella,valerianella rimosa
5341303,galeopsis bifida boenn.,60,plantae,tracheophyta,magnoliopsida,lamiales,lamiaceae,galeopsis,galeopsis bifida
5341442,thymus vulgaris l.,128,plantae,tracheophyta,magnoliopsida,lamiales,lamiaceae,thymus,thymus vulgaris
3797084,alkekengi officinarum moench,447,plantae,tracheophyta,magnoliopsida,solanales,solanaceae,alkekengi,alkekengi officinarum
5359402,trifolium hybridum subsp. elegans (savi) asch. & graebn.,67,plantae,tracheophyta,magnoliopsida,fabales,fabaceae,trifolium,trifolium hybridum
5410886,campanula thyrsoides l.,1707,plantae,tracheophyta,magnoliopsida,asterales,campanulaceae,campanula,campanula thyrsoides
5415016,linaria maroccana hook.f.,11,plantae,tracheophyta,magnoliopsida,lamiales,plantaginaceae,linaria,linaria maroccana
7310930,asplenium cuneifolium viv.,84,plantae,tracheophyta,polypodiopsida,polypodiales,aspleniaceae,asplenium,asplenium cuneifolium
7096620,gentianella amarella subsp. amarella,26,plantae,tracheophyta,magnoliopsida,gentianales,gentianaceae,gentianella,gentianella amarella
7924597,equisetum arvense l.,9745,plantae,tracheophyta,polypodiopsida,equisetales,equisetaceae,equisetum,equisetum arvense
8167030,rosa polliniana spreng.,6,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,rosa,rosa polliniana
5289492,typha minima funck,820,plantae,tracheophyta,liliopsida,poales,typhaceae,typha,typha minima
2718307,bolboschoenus maritimus (l.) palla,20,plantae,tracheophyta,liliopsida,poales,cyperaceae,bolboschoenus,bolboschoenus maritimus
2724108,carex montana l.,15921,plantae,tracheophyta,liliopsida,poales,cyperaceae,carex,carex montana
2727765,carex pairae f.w.schultz,960,plantae,tracheophyta,liliopsida,poales,cyperaceae,carex,carex pairae
3034778,turgenia latifolia (l.) hoffm.,16,plantae,tracheophyta,magnoliopsida,apiales,apiaceae,turgenia,turgenia latifolia
8214730,elaeagnus pungens c.p.thunb. ex a.murray,68,plantae,tracheophyta,magnoliopsida,rosales,elaeagnaceae,elaeagnus,elaeagnus pungens
2927490,cuscuta pentagona engelm.,18,plantae,tracheophyta,magnoliopsida,solanales,convolvulaceae,cuscuta,cuscuta pentagona
8358839,facchinia cherlerioides subsp. cherlerioides,1,plantae,tracheophyta,magnoliopsida,caryophyllales,caryophyllaceae,facchinia,facchinia cherlerioides
8848208,koenigia polystachya (wall. ex meisn.) t.m.schust. & reveal,833,plantae,tracheophyta,magnoliopsida,caryophyllales,polygonaceae,koenigia,koenigia polystachya
5376740,lepidium campestre r.br.,788,plantae,tracheophyta,magnoliopsida,brassicales,brassicaceae,lepidium,lepidium campestre
5566022,anogramma leptophylla (l.) link,287,plantae,tracheophyta,polypodiopsida,polypodiales,pteridaceae,anogramma,anogramma leptophylla
7297845,pinguicula grandiflora subsp. grandiflora,480,plantae,tracheophyta,magnoliopsida,lamiales,lentibulariaceae,pinguicula,pinguicula grandiflora
3633916,tommasinia verticillaris bertol.,196,plantae,tracheophyta,magnoliopsida,apiales,apiaceae,tommasinia,tommasinia verticillaris
4201870,petrosedum montanum (songeon & e.p.perrier) grulich,1196,plantae,tracheophyta,magnoliopsida,saxifragales,crassulaceae,petrosedum,petrosedum montanum
2727938,carex flacca schreb.,24129,plantae,tracheophyta,liliopsida,poales,cyperaceae,carex,carex flacca
2926086,lithospermum officinale l.,1463,plantae,tracheophyta,magnoliopsida,boraginales,boraginaceae,lithospermum,lithospermum officinale
3027605,alchemilla heteropoda buser,2,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,alchemilla,alchemilla heteropoda
3109086,senecio inaequidens dc.,29172,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,senecio,senecio inaequidens
3188743,lythrum portula (l.) d.a.webb,256,plantae,tracheophyta,magnoliopsida,myrtales,lythraceae,lythrum,lythrum portula
5275398,pteris vittata l.,13,plantae,tracheophyta,polypodiopsida,polypodiales,pteridaceae,pteris,pteris vittata
2840596,gymnadenia miniata (crantz) hayek,1188,plantae,tracheophyta,liliopsida,asparagales,orchidaceae,gymnadenia,gymnadenia miniata
5371699,hepatica nobilis schreb.,5695,plantae,tracheophyta,magnoliopsida,ranunculales,ranunculaceae,hepatica,hepatica nobilis
5617600,alcea biennis winterl,3,plantae,tracheophyta,magnoliopsida,malvales,malvaceae,alcea,alcea biennis
7069311,campanula carnica subsp. carnica,1,plantae,tracheophyta,magnoliopsida,asterales,campanulaceae,campanula,campanula carnica
7339409,saxifraga rosacea subsp. rosacea,3,plantae,tracheophyta,magnoliopsida,saxifragales,saxifragaceae,saxifraga,saxifraga rosacea
9233792,silphiodaucus prutenicus subsp. prutenicus,1577,plantae,tracheophyta,magnoliopsida,apiales,apiaceae,silphiodaucus,silphiodaucus prutenicus
8351737,hedera helix l.,14866,plantae,tracheophyta,magnoliopsida,apiales,araliaceae,hedera,hedera helix
2705953,eleusine indica (l.) gaertn.,253,plantae,tracheophyta,liliopsida,poales,poaceae,eleusine,eleusine indica
2722549,carex baldensis l.,173,plantae,tracheophyta,liliopsida,poales,cyperaceae,carex,carex baldensis
2723156,carex diandra schrank,929,plantae,tracheophyta,liliopsida,poales,cyperaceae,carex,carex diandra
2750279,gladiolus palustris gaudin,469,plantae,tracheophyta,liliopsida,asparagales,iridaceae,gladiolus,gladiolus palustris
2956456,colutea arborescens subsp. gallica browicz,2,plantae,tracheophyta,magnoliopsida,fabales,fabaceae,colutea,colutea arborescens
3092946,callistephus chinensis nees,14,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,callistephus,callistephus chinensis
3152379,malva moschata l.,2462,plantae,tracheophyta,magnoliopsida,malvales,malvaceae,malva,malva moschata
5377064,lepidium densiflorum schrad.,239,plantae,tracheophyta,magnoliopsida,brassicales,brassicaceae,lepidium,lepidium densiflorum
3810781,heliosperma pusillum subsp. chromodontum (boiss. & reut.) niketić & stevan.,2202,plantae,tracheophyta,magnoliopsida,caryophyllales,caryophyllaceae,heliosperma,heliosperma pusillum
5702572,crepis vesicaria subsp. taraxacifolia (thuill.) thell.,1321,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,crepis,crepis vesicaria
