acceptedtaxonkey,acceptedscientificname,numberofoccurrences,kingdom,phylum,class,order,family,genus,species
2701311,juncus effusus l.,8778,plantae,tracheophyta,liliopsida,poales,juncaceae,juncus,juncus effusus
2713300,isolepis setacea (l.) r.br.,362,plantae,tracheophyta,liliopsida,poales,cyperaceae,isolepis,isolepis setacea
2874621,citrullus lanatus (thunb.) matsumura & nakai,11,plantae,tracheophyta,magnoliopsida,cucurbitales,cucurbitaceae,citrullus,citrullus lanatus
8259811,cephalaria alpina schrad.,353,plantae,tracheophyta,magnoliopsida,dipsacales,caprifoliaceae,cephalaria,cephalaria alpina
2889934,tropaeolum majus l.,64,plantae,tracheophyta,magnoliopsida,brassicales,tropaeolaceae,tropaeolum,tropaeolum majus
2960823,hedysarum hedysaroides schinz & thell.,1712,plantae,tracheophyta,magnoliopsida,fabales,fabaceae,hedysarum,hedysarum hedysaroides
2997666,rubus obtusangulus gremli,56,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,rubus,rubus obtusangulus
3085450,cerastium alpinum l.,224,plantae,tracheophyta,magnoliopsida,caryophyllales,caryophyllaceae,cerastium,cerastium alpinum
3105380,carlina vulgaris l.,2423,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,carlina,carlina vulgaris
9458333,pilosella officinarum vaill.,14492,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,pilosella,pilosella officinarum
3141855,helminthotheca echioides (l.) holub,352,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,helminthotheca,helminthotheca echioides
3170247,asclepias syriaca l.,344,plantae,tracheophyta,magnoliopsida,gentianales,apocynaceae,asclepias,asclepias syriaca
3729230,phelipanche bohemica (celak.) j.holub & zazvorka,9,plantae,tracheophyta,magnoliopsida,lamiales,orobanchaceae,phelipanche,phelipanche bohemica
5275110,dryopteris cristata (l) a.gray,1355,plantae,tracheophyta,polypodiopsida,polypodiales,dryopteridaceae,dryopteris,dryopteris cristata
5275132,dryopteris filix-mas (l.) schott.,9974,plantae,tracheophyta,polypodiopsida,polypodiales,dryopteridaceae,dryopteris,dryopteris filix-mas
5319098,epipactis helleborine subsp. orbicularis (k.richt.) e.klein,269,plantae,tracheophyta,liliopsida,asparagales,orchidaceae,epipactis,epipactis helleborine
5334259,lonicera xylosteum l.,12035,plantae,tracheophyta,magnoliopsida,dipsacales,caprifoliaceae,lonicera,lonicera xylosteum
5411475,campanula persicifolia l.,2414,plantae,tracheophyta,magnoliopsida,asterales,campanulaceae,campanula,campanula persicifolia
5420901,punica granatum l.,7,plantae,tracheophyta,magnoliopsida,myrtales,lythraceae,punica,punica granatum
5646074,elatine hexandra dc.,15,plantae,tracheophyta,magnoliopsida,malpighiales,elatinaceae,elatine,elatine hexandra
8186928,circaea intermedia ehrh.,241,plantae,tracheophyta,magnoliopsida,myrtales,onagraceae,circaea,circaea intermedia
2855963,allium rotundum l.,123,plantae,tracheophyta,liliopsida,asparagales,amaryllidaceae,allium,allium rotundum
2925901,buglossoides arvensis (l.) i.m.johnst.,1046,plantae,tracheophyta,magnoliopsida,boraginales,boraginaceae,buglossoides,buglossoides arvensis
3083680,atriplex micrantha ledeb.,348,plantae,tracheophyta,magnoliopsida,caryophyllales,amaranthaceae,atriplex,atriplex micrantha
3146734,erigeron atticus vill.,134,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,erigeron,erigeron atticus
5334242,lonicera tatarica l.,56,plantae,tracheophyta,magnoliopsida,dipsacales,caprifoliaceae,lonicera,lonicera tatarica
5356704,lathyrus vernus bernh.,1735,plantae,tracheophyta,magnoliopsida,fabales,fabaceae,lathyrus,lathyrus vernus
5373254,cochlearia danica l.,183,plantae,tracheophyta,magnoliopsida,brassicales,brassicaceae,cochlearia,cochlearia danica
5695498,taraxacum schroeterianum hand.-mazz.,122,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,taraxacum,taraxacum schroeterianum
7610857,asplenium trichomanes subsp. quadrivalens d.e.mey.,429,plantae,tracheophyta,polypodiopsida,polypodiales,aspleniaceae,asplenium,asplenium trichomanes
7270231,gentianella germanica subsp. germanica,18,plantae,tracheophyta,magnoliopsida,gentianales,gentianaceae,gentianella,gentianella germanica
2701688,juncus monanthos jacq.,54,plantae,tracheophyta,liliopsida,poales,juncaceae,juncus,juncus monanthos
2706068,hordeum secalinum schreb.,14,plantae,tracheophyta,liliopsida,poales,poaceae,hordeum,hordeum secalinum
2725414,carex demissa hornem.,258,plantae,tracheophyta,liliopsida,poales,cyperaceae,carex,carex demissa
2882833,vaccinium myrtillus l.,16320,plantae,tracheophyta,magnoliopsida,ericales,ericaceae,vaccinium,vaccinium myrtillus
7095665,claytonia perfoliata subsp. perfoliata,35,plantae,tracheophyta,magnoliopsida,caryophyllales,montiaceae,claytonia,claytonia perfoliata
3172414,utricularia minor l.,1259,plantae,tracheophyta,magnoliopsida,lamiales,lentibulariaceae,utricularia,utricularia minor
3886463,clinopodium menthifolium subsp. ascendens (jord.) govaerts,109,plantae,tracheophyta,magnoliopsida,lamiales,lamiaceae,clinopodium,clinopodium menthifolium
7065422,tanacetum corymbosum subsp. corymbosum,2,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,tanacetum,tanacetum corymbosum
7309436,satureja montana subsp. montana,1,plantae,tracheophyta,magnoliopsida,lamiales,lamiaceae,satureja,satureja montana
3737391,euphrasia officinalis subsp. monticola silverside,356,plantae,tracheophyta,magnoliopsida,lamiales,orobanchaceae,euphrasia,euphrasia officinalis
2704002,muhlenbergia schreberi j.f.gmel.,122,plantae,tracheophyta,liliopsida,poales,poaceae,muhlenbergia,muhlenbergia schreberi
2706196,milium effusum l.,2879,plantae,tracheophyta,liliopsida,poales,poaceae,milium,milium effusum
3033377,ranunculus trichophyllus chaix,468,plantae,tracheophyta,magnoliopsida,ranunculales,ranunculaceae,ranunculus,ranunculus trichophyllus
3045111,alyssum murale waldst. & kit.,25,plantae,tracheophyta,magnoliopsida,brassicales,brassicaceae,alyssum,alyssum murale
3118430,tanacetum parthenium sch.bip.,844,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,tanacetum,tanacetum parthenium
3170037,gentiana l.,1767,plantae,tracheophyta,magnoliopsida,gentianales,gentianaceae,gentiana,
7277276,ficaria verna subsp. verna,381,plantae,tracheophyta,magnoliopsida,ranunculales,ranunculaceae,ficaria,ficaria verna
2704270,poa remota forselles,301,plantae,tracheophyta,liliopsida,poales,poaceae,poa,poa remota
2716489,cyperus fuscus l.,1283,plantae,tracheophyta,liliopsida,poales,cyperaceae,cyperus,cyperus fuscus
2773281,ornithogalum nutans l.,719,plantae,tracheophyta,liliopsida,asparagales,asparagaceae,ornithogalum,ornithogalum nutans
3045788,cardamine plumierii vill.,3,plantae,tracheophyta,magnoliopsida,brassicales,brassicaceae,cardamine,cardamine plumierii
7068732,arabidopsis arenosa subsp. arenosa,222,plantae,tracheophyta,magnoliopsida,brassicales,brassicaceae,arabidopsis,arabidopsis arenosa
3841866,blackstonia acuminata (koch & ziz) domin,518,plantae,tracheophyta,magnoliopsida,gentianales,gentianaceae,blackstonia,blackstonia acuminata
4154191,bromus pumpellianus scribn.,2,plantae,tracheophyta,liliopsida,poales,poaceae,bromus,bromus pumpellianus
8916040,clinopodium nepeta kuntze,130,plantae,tracheophyta,magnoliopsida,lamiales,lamiaceae,clinopodium,clinopodium nepeta
6710437,pulsatilla alpina subsp. apiifolia (scop.) nyman,2252,plantae,tracheophyta,magnoliopsida,ranunculales,ranunculaceae,pulsatilla,pulsatilla alpina
7219304,cerastium arvense subsp. arvense,1126,plantae,tracheophyta,magnoliopsida,caryophyllales,caryophyllaceae,cerastium,cerastium arvense
7409013,prunus domestica subsp. insititia (l.) bonnier & layens,145,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,prunus,prunus domestica
6409536,ballota nigra subsp. nigra,507,plantae,tracheophyta,magnoliopsida,lamiales,lamiaceae,ballota,ballota nigra
7475424,scabiosa lucida vill.,6263,plantae,tracheophyta,magnoliopsida,dipsacales,caprifoliaceae,scabiosa,scabiosa lucida
7707872,aconitum napellus subsp. lusitanicum rouy,617,plantae,tracheophyta,magnoliopsida,ranunculales,ranunculaceae,aconitum,
7903057,brassica rapa l.,221,plantae,tracheophyta,magnoliopsida,brassicales,brassicaceae,brassica,brassica rapa
6027110,bupleurum exaltatum m.bieb.,9,plantae,tracheophyta,magnoliopsida,apiales,apiaceae,bupleurum,bupleurum exaltatum
2705286,avena sterilis l.,3,plantae,tracheophyta,liliopsida,poales,poaceae,avena,avena sterilis
2724661,carex hirta l.,5812,plantae,tracheophyta,liliopsida,poales,cyperaceae,carex,carex hirta
2729081,carex ericetorum pollich,582,plantae,tracheophyta,liliopsida,poales,cyperaceae,carex,carex ericetorum
2913079,galium megalospermum all.,623,plantae,tracheophyta,magnoliopsida,gentianales,rubiaceae,galium,galium megalospermum
3135843,hieracium pictum pers.,125,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,hieracium,hieracium pictum
4103471,knautia dipsacifolia subsp. sixtina (briq.) ehrend.,15,plantae,tracheophyta,magnoliopsida,dipsacales,caprifoliaceae,knautia,knautia dipsacifolia
5289781,aegilops geniculata roth,1,plantae,tracheophyta,liliopsida,poales,poaceae,aegilops,aegilops geniculata
5371782,falcaria vulgaris bernh.,430,plantae,tracheophyta,magnoliopsida,apiales,apiaceae,falcaria,falcaria vulgaris
5376426,diplotaxis tenuifolia (l.) dc.,1246,plantae,tracheophyta,magnoliopsida,brassicales,brassicaceae,diplotaxis,diplotaxis tenuifolia
5403525,crepis conyzifolia (gouan) a.kerner,1535,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,crepis,crepis conyzifolia
5403835,chondrilla chondrilloides h.karst.,250,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,chondrilla,chondrilla chondrilloides
9299708,pulsatilla bolzanensis murr,35,plantae,tracheophyta,magnoliopsida,ranunculales,ranunculaceae,pulsatilla,pulsatilla bolzanensis
2926615,origanum majorana l.,21,plantae,tracheophyta,magnoliopsida,lamiales,lamiaceae,origanum,origanum majorana
3166757,phyteuma ovatum honck.,596,plantae,tracheophyta,magnoliopsida,asterales,campanulaceae,phyteuma,phyteuma ovatum
5341499,nepeta cataria l.,175,plantae,tracheophyta,magnoliopsida,lamiales,lamiaceae,nepeta,nepeta cataria
5359425,trifolium alpinum l.,2924,plantae,tracheophyta,magnoliopsida,fabales,fabaceae,trifolium,trifolium alpinum
5371772,levisticum officinale w.d.j.koch,34,plantae,tracheophyta,magnoliopsida,apiales,apiaceae,levisticum,levisticum officinale
5403296,crepis paludosa moench,4938,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,crepis,crepis paludosa
6027388,silaum silaus schinz & thell.,1902,plantae,tracheophyta,magnoliopsida,apiales,apiaceae,silaum,silaum silaus
7960979,urtica dioica l.,15234,plantae,tracheophyta,magnoliopsida,rosales,urticaceae,urtica,urtica dioica
8144117,sedum atratum l.,1364,plantae,tracheophyta,magnoliopsida,saxifragales,crassulaceae,sedum,sedum atratum
9121716,galium pumilum murray,11722,plantae,tracheophyta,magnoliopsida,gentianales,rubiaceae,galium,galium pumilum
2705431,eragrostis barrelieri daveau,50,plantae,tracheophyta,liliopsida,poales,poaceae,eragrostis,eragrostis barrelieri
2849584,orchis spitzelii saut. ex w.d.j.koch,129,plantae,tracheophyta,liliopsida,asparagales,orchidaceae,orchis,orchis spitzelii
3001509,malus sylvestris mill.,908,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,malus,malus sylvestris
4211808,erigeron strigosus var. septentrionalis (fernald & wiegand) fernald,793,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,erigeron,erigeron strigosus
5359144,trifolium saxatile all.,713,plantae,tracheophyta,magnoliopsida,fabales,fabaceae,trifolium,trifolium saxatile
5367987,potentilla alba l.,552,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,potentilla,potentilla alba
7400466,aconitum lycoctonum subsp. neapolitanum (ten.) nyman,554,plantae,tracheophyta,magnoliopsida,ranunculales,ranunculaceae,aconitum,aconitum lycoctonum
2651816,adiantum capillus-veneris l.,390,plantae,tracheophyta,polypodiopsida,polypodiales,pteridaceae,adiantum,adiantum capillus-veneris
2722359,carex atrofusca schkuhr,101,plantae,tracheophyta,liliopsida,poales,cyperaceae,carex,carex atrofusca
2925892,echium vulgare l.,6127,plantae,tracheophyta,magnoliopsida,boraginales,boraginaceae,echium,echium vulgare
4008062,androsace alpina lam.,1018,plantae,tracheophyta,magnoliopsida,ericales,primulaceae,androsace,androsace alpina
5334247,lonicera etrusca santi,103,plantae,tracheophyta,magnoliopsida,dipsacales,caprifoliaceae,lonicera,lonicera etrusca
7750780,orobanche gracilis sm.,285,plantae,tracheophyta,magnoliopsida,lamiales,orobanchaceae,orobanche,orobanche gracilis
7886879,callitriche platycarpa kütz.,164,plantae,tracheophyta,magnoliopsida,lamiales,plantaginaceae,callitriche,callitriche platycarpa
8170635,spiraea japonica l.f.,127,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,spiraea,spiraea japonica
8212124,potentilla alpicola de la soie ex fauconnet,82,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,potentilla,potentilla alpicola
8654143,caryopteris clandonensis a.simmonds,23,plantae,tracheophyta,magnoliopsida,lamiales,lamiaceae,caryopteris,caryopteris clandonensis
2700948,luzula alpinopilosa (chaix) breistr.,1661,plantae,tracheophyta,liliopsida,poales,juncaceae,luzula,luzula alpinopilosa
2888298,moneses uniflora a.gray,882,plantae,tracheophyta,magnoliopsida,ericales,ericaceae,moneses,moneses uniflora
9443922,micranthes stellaris subsp. stellaris,2089,plantae,tracheophyta,magnoliopsida,saxifragales,saxifragaceae,micranthes,micranthes stellaris
3172261,jasminum officinale l.,8,plantae,tracheophyta,magnoliopsida,lamiales,oleaceae,jasminum,jasminum officinale
3734339,veronica aphylla l.,1155,plantae,tracheophyta,magnoliopsida,lamiales,plantaginaceae,veronica,veronica aphylla
8046918,veronica satureiifolia poit. & turp.,2126,plantae,tracheophyta,magnoliopsida,lamiales,plantaginaceae,veronica,veronica satureiifolia
5275044,athyrium filix-femina (l.) roth,7441,plantae,tracheophyta,polypodiopsida,polypodiales,athyriaceae,athyrium,athyrium filix-femina
5411920,campanula rapunculus l.,2208,plantae,tracheophyta,magnoliopsida,asterales,campanulaceae,campanula,campanula rapunculus
7277610,ranunculus alpestris l.,2173,plantae,tracheophyta,magnoliopsida,ranunculales,ranunculaceae,ranunculus,ranunculus alpestris
7702019,lysimachia nemorum l.,5027,plantae,tracheophyta,magnoliopsida,ericales,primulaceae,lysimachia,lysimachia nemorum
2727907,carex pauciflora lightf.,1830,plantae,tracheophyta,liliopsida,poales,cyperaceae,carex,carex pauciflora
2742096,veratrum nigrum l.,254,plantae,tracheophyta,liliopsida,liliales,melanthiaceae,veratrum,veratrum nigrum
2784401,traunsteinera globosa rchb.,8549,plantae,tracheophyta,liliopsida,asparagales,orchidaceae,traunsteinera,traunsteinera globosa
2873991,aristolochia clematitis l.,361,plantae,tracheophyta,magnoliopsida,piperales,aristolochiaceae,aristolochia,aristolochia clematitis
3012448,sorbus austriaca hedl.,1,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,sorbus,sorbus austriaca
3121226,artemisia biennis willd.,48,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,artemisia,artemisia biennis
3166655,phyteuma orbiculare l.,11082,plantae,tracheophyta,magnoliopsida,asterales,campanulaceae,phyteuma,phyteuma orbiculare
7939955,lysimachia minima (l.) u.manns & anderb.,1228,plantae,tracheophyta,magnoliopsida,ericales,primulaceae,lysimachia,lysimachia minima
3169386,lysimachia vulgaris l.,9600,plantae,tracheophyta,magnoliopsida,ericales,primulaceae,lysimachia,lysimachia vulgaris
3190653,ailanthus altissima (mill.) swingle,12543,plantae,tracheophyta,magnoliopsida,sapindales,simaroubaceae,ailanthus,ailanthus altissima
9020499,koenigia alpina (all.) t.m.schust. & reveal,152,plantae,tracheophyta,magnoliopsida,caryophyllales,polygonaceae,koenigia,koenigia alpina
5373368,rapistrum rugosum (l.) all.,6,plantae,tracheophyta,magnoliopsida,brassicales,brassicaceae,rapistrum,rapistrum rugosum
5388967,solidago rugosa mill.,6,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,solidago,solidago rugosa
5560037,linaria alpina mill.,1250,plantae,tracheophyta,magnoliopsida,lamiales,plantaginaceae,linaria,linaria alpina
8049341,osmunda regalis l.,743,plantae,tracheophyta,polypodiopsida,osmundales,osmundaceae,osmunda,osmunda regalis
8281044,pulsatilla halleri subsp. halleri,1,plantae,tracheophyta,magnoliopsida,ranunculales,ranunculaceae,pulsatilla,pulsatilla halleri
2688345,lycopodiella inundata (l.) holub,560,plantae,tracheophyta,lycopodiopsida,lycopodiales,lycopodiaceae,lycopodiella,lycopodiella inundata
2985949,sempervivum tectorum l.,3367,plantae,tracheophyta,magnoliopsida,saxifragales,crassulaceae,sempervivum,sempervivum tectorum
2999279,rubus landoltii h.e.weber,46,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,rubus,rubus landoltii
3027860,alchemilla lunaria s.e.fröhner,107,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,alchemilla,alchemilla lunaria
3120117,achillea clavennae l.,109,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,achillea,achillea clavennae
4112460,festuca ticinensis (markgr.-dann.) markgr.-dann.,3,plantae,tracheophyta,liliopsida,poales,poaceae,festuca,festuca ticinensis
5412014,campanula trachelium l.,5405,plantae,tracheophyta,magnoliopsida,asterales,campanulaceae,campanula,campanula trachelium
5581905,salix serpyllifolia scop.,1196,plantae,tracheophyta,magnoliopsida,malpighiales,salicaceae,salix,salix serpyllifolia
7266982,dianthus superbus subsp. superbus,235,plantae,tracheophyta,magnoliopsida,caryophyllales,caryophyllaceae,dianthus,dianthus superbus
7311075,tilia platyphyllos subsp. platyphyllos,50,plantae,tracheophyta,magnoliopsida,malvales,malvaceae,tilia,tilia platyphyllos
7871428,stuckenia pectinata (l.) börner,6168,plantae,tracheophyta,liliopsida,alismatales,potamogetonaceae,stuckenia,stuckenia pectinata
2888963,rumex conglomeratus murray,853,plantae,tracheophyta,magnoliopsida,caryophyllales,polygonaceae,rumex,rumex conglomeratus
2999327,rubus constrictus lefèvre & p.j.müll.,12,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,rubus,rubus constrictus
3002121,agrimonia procera wallr.,351,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,agrimonia,agrimonia procera
3028431,alchemilla conjuncta bab.,340,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,alchemilla,alchemilla conjuncta
3085439,cerastium brachypetalum desf. ex pers.,349,plantae,tracheophyta,magnoliopsida,caryophyllales,caryophyllaceae,cerastium,cerastium brachypetalum
4119612,festuca nigrescens lam.,1662,plantae,tracheophyta,liliopsida,poales,poaceae,festuca,festuca nigrescens
4123271,festuca halleri all.,535,plantae,tracheophyta,liliopsida,poales,poaceae,festuca,festuca halleri
4258713,asplenium onopteris l.,49,plantae,tracheophyta,polypodiopsida,polypodiales,aspleniaceae,asplenium,asplenium onopteris
5374672,barbarea verna (mill.) asch.,86,plantae,tracheophyta,magnoliopsida,brassicales,brassicaceae,barbarea,barbarea verna
7647071,bromus erectus huds.,8718,plantae,tracheophyta,liliopsida,poales,poaceae,bromus,bromus erectus
7930390,myosotis rehsteineri warten.,447,plantae,tracheophyta,magnoliopsida,boraginales,boraginaceae,myosotis,myosotis rehsteineri
2724306,carex leersii f.schult.,1216,plantae,tracheophyta,liliopsida,poales,cyperaceae,carex,carex leersii
3025764,cotoneaster adpressus bois,4,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,cotoneaster,cotoneaster adpressus
3172615,catalpa bignonioides walter,96,plantae,tracheophyta,magnoliopsida,lamiales,bignoniaceae,catalpa,catalpa bignonioides
5290073,alopecurus rendlei eig,9,plantae,tracheophyta,liliopsida,poales,poaceae,alopecurus,alopecurus rendlei
5372647,salix pentandra l.,555,plantae,tracheophyta,magnoliopsida,malpighiales,salicaceae,salix,salix pentandra
2742119,veratrum album l.,3806,plantae,tracheophyta,liliopsida,liliales,melanthiaceae,veratrum,veratrum album
2793652,ophrys fuciflora subsp. elatior gumpr. ex r.engel & quentin,257,plantae,tracheophyta,liliopsida,asparagales,orchidaceae,ophrys,ophrys fuciflora
2914110,galium rotundifolium l.,2382,plantae,tracheophyta,magnoliopsida,gentianales,rubiaceae,galium,galium rotundifolium
3027518,alchemilla incisa buser,132,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,alchemilla,alchemilla incisa
3088282,petasites pyrenaicus (l.) g.lópez,21,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,petasites,petasites pyrenaicus
3147080,erigeron acris l.,1874,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,erigeron,erigeron acris
3170115,gentiana cruciata l.,2306,plantae,tracheophyta,magnoliopsida,gentianales,gentianaceae,gentiana,gentiana cruciata
3171943,verbascum blattaria l.,584,plantae,tracheophyta,magnoliopsida,lamiales,scrophulariaceae,verbascum,verbascum blattaria
5377064,lepidium densiflorum schrad.,57,plantae,tracheophyta,magnoliopsida,brassicales,brassicaceae,lepidium,lepidium densiflorum
7270109,gentiana lutea subsp. lutea,255,plantae,tracheophyta,magnoliopsida,gentianales,gentianaceae,gentiana,gentiana lutea
3877063,atadinus alpinus raf.,1898,plantae,tracheophyta,magnoliopsida,rosales,rhamnaceae,atadinus,atadinus alpinus
4272954,scrophularia canina subsp. hoppii (koch) p.fourn.,206,plantae,tracheophyta,magnoliopsida,lamiales,scrophulariaceae,scrophularia,scrophularia canina
7321434,botrypus virginianus subsp. virginianus,171,plantae,tracheophyta,polypodiopsida,ophioglossales,ophioglossaceae,botrypus,botrypus virginianus
2705449,eragrostis minor host,3362,plantae,tracheophyta,liliopsida,poales,poaceae,eragrostis,eragrostis minor
2767506,scilla bifolia l.,2807,plantae,tracheophyta,liliopsida,asparagales,asparagaceae,scilla,scilla bifolia
2874508,cucurbita pepo l.,50,plantae,tracheophyta,magnoliopsida,cucurbitales,cucurbitaceae,cucurbita,cucurbita pepo
2879098,quercus ilex l.,219,plantae,tracheophyta,magnoliopsida,fagales,fagaceae,quercus,quercus ilex
3088922,logfia minima dumort.,254,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,logfia,logfia minima
4102834,scabiosa canescens waldst. & kit.,10,plantae,tracheophyta,magnoliopsida,dipsacales,caprifoliaceae,scabiosa,scabiosa canescens
2889304,persicaria capitata (buch.-ham. ex d.don) h.gross,10,plantae,tracheophyta,magnoliopsida,caryophyllales,polygonaceae,persicaria,persicaria capitata
5354500,cytisus hirsutus l.,118,plantae,tracheophyta,magnoliopsida,fabales,fabaceae,cytisus,cytisus hirsutus
5376337,diplotaxis muralis dc.,763,plantae,tracheophyta,magnoliopsida,brassicales,brassicaceae,diplotaxis,diplotaxis muralis
2706196,milium effusum l.,46,plantae,tracheophyta,liliopsida,poales,poaceae,milium,milium effusum
6076300,centaurea jacea subsp. gaudinii (boiss. & reut.) gremli,118,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,centaurea,centaurea jacea
2684743,juniperus communis var. saxatilis pall.,2650,plantae,tracheophyta,pinopsida,pinales,cupressaceae,juniperus,juniperus communis
7227169,carex curvula subsp. curvula,876,plantae,tracheophyta,liliopsida,poales,cyperaceae,carex,carex curvula
8127054,knautia collina (req. ex guer.) jord.,237,plantae,tracheophyta,magnoliopsida,dipsacales,caprifoliaceae,knautia,knautia collina
7361164,pulsatilla rubra delarbre,7,plantae,tracheophyta,magnoliopsida,ranunculales,ranunculaceae,pulsatilla,pulsatilla rubra
5376158,hornungia procumbens hayek,5,plantae,tracheophyta,magnoliopsida,brassicales,brassicaceae,hornungia,hornungia procumbens
2891782,impatiens parviflora dc.,4524,plantae,tracheophyta,magnoliopsida,ericales,balsaminaceae,impatiens,impatiens parviflora
3171734,pedicularis palustris l.,1531,plantae,tracheophyta,magnoliopsida,lamiales,orobanchaceae,pedicularis,pedicularis palustris
3172068,veronica cymbalaria bodard,23,plantae,tracheophyta,magnoliopsida,lamiales,plantaginaceae,veronica,veronica cymbalaria
6374790,clematis integrifolia l.,1,plantae,tracheophyta,magnoliopsida,ranunculales,ranunculaceae,clematis,clematis integrifolia
2704505,arrhenatherum elatius (l.) p.beauv. ex j.presl & c.presl,18619,plantae,tracheophyta,liliopsida,poales,poaceae,arrhenatherum,arrhenatherum elatius
3063010,mercurialis ovata sternb. & hoppe,196,plantae,tracheophyta,magnoliopsida,malpighiales,euphorbiaceae,mercurialis,mercurialis ovata
3066179,euphorbia seguieriana neck.,261,plantae,tracheophyta,magnoliopsida,malpighiales,euphorbiaceae,euphorbia,euphorbia seguieriana
4119509,festuca norica richter,42,plantae,tracheophyta,liliopsida,poales,poaceae,festuca,festuca norica
2810155,dactylorhiza majalis (rchb.) p.f.hunt & summerh.,12030,plantae,tracheophyta,liliopsida,asparagales,orchidaceae,dactylorhiza,dactylorhiza majalis
2913695,galium lucidum subsp. corrudifolium (vill.) bonnier,7,plantae,tracheophyta,magnoliopsida,gentianales,rubiaceae,galium,galium lucidum
4109815,bromus riparius rehm.,179,plantae,tracheophyta,liliopsida,poales,poaceae,bromus,bromus riparius
8952395,phleum alpinum l.,1381,plantae,tracheophyta,liliopsida,poales,poaceae,phleum,phleum alpinum
4144456,vulpia unilateralis (l.) stace,4,plantae,tracheophyta,liliopsida,poales,poaceae,vulpia,vulpia unilateralis
5334240,lonicera japonica thunb.,1383,plantae,tracheophyta,magnoliopsida,dipsacales,caprifoliaceae,lonicera,lonicera japonica
5411453,campanula medium l.,8,plantae,tracheophyta,magnoliopsida,asterales,campanulaceae,campanula,campanula medium
7810918,scrophularia vernalis l.,36,plantae,tracheophyta,magnoliopsida,lamiales,scrophulariaceae,scrophularia,scrophularia vernalis
7958783,pulmonaria mollis hornem.,14,plantae,tracheophyta,magnoliopsida,boraginales,boraginaceae,pulmonaria,pulmonaria mollis
4931158,lamium purpureum var. hybridum (vill.) vill.,367,plantae,tracheophyta,magnoliopsida,lamiales,lamiaceae,lamium,lamium purpureum
2888446,papaver hybridum l.,10,plantae,tracheophyta,magnoliopsida,ranunculales,papaveraceae,papaver,papaver hybridum
3028479,alchemilla firma buser,15,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,alchemilla,alchemilla firma
3166835,phyteuma hedraianthifolium r.schulz,100,plantae,tracheophyta,magnoliopsida,asterales,campanulaceae,phyteuma,phyteuma hedraianthifolium
5341784,physalis peruviana l.,110,plantae,tracheophyta,magnoliopsida,solanales,solanaceae,physalis,physalis peruviana
5663962,viola reichenbachiana jord. ex boreau,7326,plantae,tracheophyta,magnoliopsida,malpighiales,violaceae,viola,viola reichenbachiana
7221553,galium album subsp. album,154,plantae,tracheophyta,magnoliopsida,gentianales,rubiaceae,galium,galium album
8069406,linum tenuifolium l.,1085,plantae,tracheophyta,magnoliopsida,malpighiales,linaceae,linum,linum tenuifolium
8287616,linaria simplex dc.,56,plantae,tracheophyta,magnoliopsida,lamiales,plantaginaceae,linaria,linaria simplex
2926688,sideritis montana l.,7,plantae,tracheophyta,magnoliopsida,lamiales,lamiaceae,sideritis,sideritis montana
3045753,cardamine pratensis subsp. pratensis,138,plantae,tracheophyta,magnoliopsida,brassicales,brassicaceae,cardamine,cardamine pratensis
3112799,cirsium acaule (l.) scop.,9938,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,cirsium,cirsium acaule
7226886,deschampsia cespitosa subsp. cespitosa,184,plantae,tracheophyta,liliopsida,poales,poaceae,deschampsia,deschampsia cespitosa
